MapName,MonsterId,X,Y,SpawnerId,SpawnId,SpawnCount,RespawnSeconds,Enabled,#Note
ForestTrail2,130101,-10.22,-6.23,ForestTrail2_SP001,ForestTrail2_SP001_M130101,1,10,true,원본 monster-1143
ForestTrail2,130101,-7.3,-6.15,ForestTrail2_SP002,ForestTrail2_SP002_M130101,1,10,true,원본 monster-1143_1
ForestTrail2,130101,5.19,-0.14,ForestTrail2_SP003,ForestTrail2_SP003_M130101,1,10,true,원본 monster-1143_10
ForestTrail2,130101,-5.7,-6.1,ForestTrail2_SP004,ForestTrail2_SP004_M130101,1,10,true,원본 monster-1143_2
ForestTrail2,130101,-1.93,-4.91,ForestTrail2_SP005,ForestTrail2_SP005_M130101,1,10,true,원본 monster-1143_3
ForestTrail2,130101,1.32,-5,ForestTrail2_SP006,ForestTrail2_SP006_M130101,1,10,true,원본 monster-1143_4
ForestTrail2,130101,0.67,-2.4,ForestTrail2_SP007,ForestTrail2_SP007_M130101,1,10,true,원본 monster-1143_5
ForestTrail2,130101,2.92,-2.58,ForestTrail2_SP008,ForestTrail2_SP008_M130101,1,10,true,원본 monster-1143_6
ForestTrail2,130101,5.61,-2.5,ForestTrail2_SP009,ForestTrail2_SP009_M130101,1,10,true,원본 monster-1143_7
ForestTrail2,130101,0.96,-0.06,ForestTrail2_SP010,ForestTrail2_SP010_M130101,1,10,true,원본 monster-1143_8
ForestTrail2,130101,2.88,0.12,ForestTrail2_SP011,ForestTrail2_SP011_M130101,1,10,true,원본 monster-1143_9
ForestTrail2,120100,3.55,-4.92,ForestTrail2_SP012,ForestTrail2_SP012_M120100,1,10,true,원본 monster-545
ForestTrail2,120100,4.79,-4.89,ForestTrail2_SP013,ForestTrail2_SP013_M120100,1,10,true,원본 monster-545_1
ForestTrail2,120100,6.11,-4.89,ForestTrail2_SP014,ForestTrail2_SP014_M120100,1,10,true,원본 monster-545_2
ForestTrail2,120100,4.78,-2.5,ForestTrail2_SP015,ForestTrail2_SP015_M120100,1,10,true,원본 monster-545_3
ForestTrail2,120100,1.89,-0.02,ForestTrail2_SP016,ForestTrail2_SP016_M120100,1,10,true,원본 monster-545_4
