Id,Name,NameKo,Level,MaxHP,FoundAt,SpriteRuid,ModelId,MoveType,Status
100001,Blue Snail,파란 달팽이,2,20,103050912,0c69164656d24f64bd1a1f6ee4019dff,monster100001,walk,duplicate_of_100101
100002,Red Snail,빨간 달팽이,4,35,103050913,1371f44b1ce643e185ebf5396bddaaf7,monster100002,walk,duplicate_of_130101
100100,Snail,달팽이,1,15,104010000,17b55730c26f4fd6b8fcfa288da388de,monster100100,walk,duplicate_of_100000
2300200,Ruins Guardian,,5,50,910090303,,monster2300200,walk,roster
2300201,Pudgy Flower,,13,200,100051011;100051013,,monster2300201,walk,roster
2300202,Toxiblossom,,15,250,100051012;100051013,,monster2300202,walk,roster
2300203,Hoppin' Sprout,,17,300,100051022,,monster2300203,walk,roster
2300204,Chargin' Sprout,,19,350,100051021,,monster2300204,walk,roster
2300205,Log-a-Rhythmic Bugs,,21,405,100051031;100051033,,monster2300205,walk,roster
2300206,Sparkinstone Bugs,,23,465,100051032;100051033,,monster2300206,walk,roster
2300207,Ruins Guardian,,25,525,100051041,,monster2300207,walk,roster
2300208,Ruins Sentinel,,27,650,100051042,,monster2300208,walk,roster
2300209,Encroaching Darkness,,29,790,910090350,,monster2300209,fly,roster
2300210,Encroaching Darkness,,29,790,910090350,,monster2300210,fly,roster
2300260,Flared Hoppin' Sprout,,135,876000,100051025;100051026,,monster2300260,walk,roster
2300261,Flared Chargin' Sprout,,136,915750,100051026;100051027,,monster2300261,walk,roster
2300262,Blazin' Log-a-Rhythmic Bugs,,138,1000125,100051035;100051036,,monster2300262,walk,roster
2300263,Blazin' Sparkinstone Bugs,,139,1042200,100051036;100051037,,monster2300263,walk,roster
2300264,Fettered Ruins Sentinel,,140,1087800,100051050;100051051,,monster2300264,walk,roster
2300265,Broiling Ruins Guardian,,141,1134300,100051051;100051052,,monster2300265,walk,roster
2300266,Frenzied Ruins Sentinel,,142,1178775,100051060;100051061,,monster2300266,walk,roster
2300267,Searing Ruins Guardian,,143,1227000,100051061;100051062,,monster2300267,walk,roster
2300271,Flared Hoppin' Sprout,,135,876000,910090400,,monster2300271,walk,roster
4310000,Greatest Oldies Album,,145,1326150,103041165;103041167,,monster4310000,walk,roster
4310001,Latest Hits Album,,145,1326150,103041165;103041167,,monster4310001,walk,roster
4310002,Next-gen Speaker,,146,1373850,103041100;103041105;103041107,,monster4310002,walk,roster
4310004,Blue Raspberry Jelly Juice,,147,1425600,103041110;103041115,,monster4310004,walk,roster
4310005,Grape Jelly Juice,,148,1478250,103041115;103041117,,monster4310005,walk,roster
4310006,Enraged Espresso Machine,,149,1531800,103041110;103041115;103041117,,monster4310006,walk,roster
4310007,Green Notebook,,150,1586250,103041120;103041125,,monster4310007,walk,roster
4310008,Blue Notebook,,151,1641600,103041125;103041127,,monster4310008,walk,roster
4310009,Yellow Headphones,,152,1732500,103041130;103041135,,monster4310009,walk,roster
4310010,Red Headphones,,153,1825200,103041135;103041137,,monster4310010,walk,roster
4310011,Killer Cosmetics,,154,1919700,103041140;103041145,,monster4310011,walk,roster
4310012,Deadly Dressing Table,,155,2020200,103041145;103041147,,monster4310012,walk,roster
4310013,Harried Hair Roller,,155,2020200,103041150;103041155,,monster4310013,walk,roster
4310014,Peeved Perm Machine,,155,2020200,103041155;103041157,,monster4310014,walk,roster
4310015,Spirit of Rock,,155,202020000,910310520;910310530,,monster4310015,walk,roster
4310016,Frenzied Peri Dotts,,151,164160000,910310515,,monster4310016,walk,roster
4310017,[*] Enraged Espresso Machine,,155,10101000,103041119,,monster4310017,walk,roster
4310018,[*] Blue Notebook,,157,11092500,103041129,,monster4310018,walk,roster
4310019,[*] Red Headphones,,159,12144000,103041139,,monster4310019,walk,roster
4310020,[*] Deadly Dressing Table,,161,17612000,103041149,,monster4310020,walk,roster
4310021,[*] Harried Hair Roller,,162,18375000,103041159,,monster4310021,walk,roster
9010042,Throwback Cherry Bubble Tea,,1,9900,921170012,,monster9010042,walk,roster
9300429,Black Wing Henchman,,29,1580,910150220,,monster9300429,walk,roster
9300430,Black Wing Henchman,,43,4400,910150230,,monster9300430,walk,roster
9300738,Berserk Ghost Stump,,18,325,910240000,,monster9300738,walk,roster
