Id,Name,NameKo,Level,MaxHP,FoundAt,SpriteRuid,ModelId,MoveType,Status
100000,Snail,달팽이,1,15,103050911,17b55730c26f4fd6b8fcfa288da388de,monster100000,walk,done
100101,Blue Snail,파란 달팽이,2,20,104010000;104010100,0c69164656d24f64bd1a1f6ee4019dff,monster100101,walk,done
120100,Shroom,스포아,3,25,104010200;104020000,f84d50d06d1c45308d8497e8bf226308,monster120100,walk,done
130100,Stump,스텀프,20,375,102010000;102020000;102020100,cf2a470436cd4b2aa265648e15198c45,monster130100,walk,done
130101,Red Snail,빨간 달팽이,5,50,100010100;101010100;104010100;104010200,1371f44b1ce643e185ebf5396bddaaf7,monster130101,walk,done
210100,Slime,슬라임,7,80,101010000;101020000;101020100;101050200;101050300,50faf654ee5d479cb2958edce9feaef0,monster210100,hop,done
1110100,Green Mushroom,초록버섯,10,125,100020000;100020100;100020101,f86992ba9c41487c8480fcb893fcbda6,monster1110100,walk,done
1110101,Dark Stump,다크 스텀프,20,375,102020100;102020200,ed3908e24d694bb786023fc1ed073489,monster1110101,walk,done
1120100,Octopus,옥토퍼스,10,125,103010000;103010100,d8f014043ce8418f96700c2b6c9ebf6c,monster1120100,walk,done
1130100,Axe Stump,엑스텀프,21,405,101020403;101020404;102020200;102020300;102020400,c7c3133cbaeb45fc913c8d6638096b9d,monster1130100,walk,done
1140100,Ghost Stump,고스텀프,23,465,102020500,52fc9a75b6174bfa96af66c49dbb3369,monster1140100,walk,done
1140130,Smirking Ghost Stump,히죽대는 고스텀프,24,495,102020500,4286356e1f6a4c03a6ef125123a49bbe,monster1140130,walk,done
1210100,Pig,돼지,7,80,120010000;120010100,528a8638b12f41b8b5781a05360d2949,monster1210100,hop,done
1210101,Ribbon Pig,리본 돼지,10,125,120000400,6a699b8c31b94474bb795c7394c3af3b,monster1210101,hop,done
1210102,Orange Mushroom,주황버섯,10,125,100010000;100010100;100020000;101010000;101010100;102010100;103010000;103010100;120010000;120010100,96e955c1bf27415e84f96deea200a8f1,monster1210102,hop,done
1210103,Bubbling,버블링,10,125,101020100;101020200,7765add816404731a1b9cf615ecab042,monster1210103,hop,done
1210104,Blue Ribbon Pig,파란 리본돼지,13,200,120000400,5a18203bf3b949cd892eb382edc7f7e4,monster1210104,walk,done
2110200,Horny Mushroom,뿔버섯,12,175,100020100;100020200,f4915ad47dbf4682a56fcac6b893a597,monster2110200,walk,done
2130100,Dark Axe Stump,다크 엑스텀프,22,435,102020300;102020400,4d6afe038613457c84a8b4e2525a12e0,monster2130100,walk,done
2130103,Jr. Necki,주니어 네키,45,4800,103030000,48c10437ae8344a9b2a1d3f36185728f,monster2130103,walk,done
2220100,Blue Mushroom,파란버섯,14,225,100020300;100020301;100020400;100020401,6a98e7ec155643c4a53ff7a81965a6d9,monster2220100,hop,done
2220110,Crying Blue Mushroom,우는 파란버섯,15,250,100020300;100020400;100020401,1a176a7afb114fe7aef2bc58ef2d945b,monster2220110,hop,done
2230100,Evil Eye,이블아이,26,580,101020405;101030000;101030100,4e03ed5336034bc793eb287e875ee5c0,monster2230100,hop,done
2230101,Zombie Mushroom,좀비버섯,65,15000,100020400;100020401;100020500,,monster2230101,hop,roster
2230102,Wild Boar,와일드보어,55,8000,102030000;102030100,af64c62c1dcf427998c3c52f0a060fec,monster2230102,hop,done
2230110,Wooden Mask,우드 마스크,60,11000,102040000,73ce3620378b471a819c734757a0746a,monster2230110,walk,done
2230111,Rocky Mask,스톤 마스크,61,11800,102040100,d3e7f21dd2a24d7497cfae67dd9fcd9d,monster2230111,walk,done
2230112,Terrified Wild Boar,겁먹은 와일드보어,55,8000,102030000,d8316fab961249cd9e1740c7fe5b3632,monster2230112,hop,done
2230113,Surgeon Eye,서전아이,29,790,101030300;101030500,d0bc449d52ed411c967530fc337ee5f6,monster2230113,walk,done
2230114,Muddy Swamp Monster,늪진흙괴물,49,5760,103030300;103030400,096e9a374aa74156976f83f25a3f49b4,monster2230114,walk,done
2230115,Muddy Sprout Monster,새싹진흙괴물,50,6000,103030400,030177c5bcdb463db3a35b309a8fc6b1,monster2230115,walk,done
2300100,Stirge,스티지,43,4400,103020100;103020200;103020300;103020310,97be1b527dea4b20b7d1521feec01e64,monster2300100,fly,done
2700310,Sparrow,참새,20,300,101020401;101020402,0af1205736624f06a9bf84513f5b1b94,monster2700310,walk,done
3000001,Fairy,페어리,13,200,101020200;101020300,1ed0265245594bf0904ceb88ecaf16ba,monster3000001,walk,done
3000007,Royal Fairy,로얄 페어리,15,250,101020300,eedd5e1e644e47019294ca83bdfaca0b,monster3000007,walk,done
3110100,Ligator,리게이터,46,5040,103030100;103030200,ea1cb448952a4e469b3ee39946a7617a,monster3110100,walk,done
3210100,Fire Boar,파이어보어,58,9800,102030300;102030400,c0eb9ef310a34552ad94d9d3dd39b402,monster3210100,hop,done
3230100,Curse Eye,커즈아이,27,650,101020406;101030000;101030100;101030101;101030200,2166e8eff2fc4321a276c816a69871b3,monster3230100,hop,done
3230101,Jr. Wraith,주니어 레이스,44,4600,103020200;103020300;103020310;103020400;103020410,41740f3e115a4fc4853c491ed834e970,monster3230101,hop,done
3230300,Jr. Boogie,주니어 부기,15,250,102010000;102010100,a2204a21d88942b281d2cac6053ffbaa,monster3230300,walk,done
3501100,Thorny Bramble,뾰족 가시 나무,53,7200,101081000;101081100;101081200,3135ec97241d4a7ca023538eef9c14ed,monster3501100,walk,done
3501101,Forest Howlet,숲의 울음꾼,53,7200,101081000;101081100,a21189342b1746018bedf6c8dba9af13,monster3501101,walk,done
3501102,Night Howlet,밤의 울음꾼,53,7200,101081100;101081200,47653e2903004d24a8dc0a4077a703e4,monster3501102,walk,done
3501103,Hay Bundle,지푸라기 뭉치,53,7200,101082100;101082200,3b18851348b0412bb60e3c83f6a46942,monster3501103,walk,done
3501104,Dust Bundle,먼지 뭉치,53,7200,101082200;101082300,990a22a70f2042d781c64814fa60c0e5,monster3501104,walk,done
3501105,Deep Forest Wisp,깊은 숲 위습,32,2200,101083000;101083100,8f8b271dd1ba4a2f86a6c6c2cd999d3d,monster3501105,fly,done
3501106,Forest Glimmerfox,숲의 파수꾼,53,7200,101083100;101083200;101083300,70ba229ac6a945d5846ad7c9f97c1c85,monster3501106,walk,done
3501107,Night Glimmerfox,밤의 파수꾼,53,7200,101083300;101083400,fd72892e20c2417ca9df74835a28816d,monster3501107,walk,done
3501108,Blue Spring Sprite,푸른 샘의 정령,53,7200,101084100;101084200,3a4775167ab94ba8a997b3253dcaa925,monster3501108,walk,done
3501109,Deep Spring Sprite,깊은 샘의 정령,53,7200,101084200;101084300,c30a70b3b97540a9a8dcdbc52fbf36fc,monster3501109,walk,done
4230100,Cold Eye,콜드아이,28,720,101020407;101030200;101030201;101030300;101030400,196db48cdd714aa78ef18681a2d41338,monster4230100,hop,done
4230102,Wraith,레이스,45,4800,103020310;103020320;103020410;103020420,0fce7322f6e44428a69b86c880b30896,monster4230102,hop,done
4230103,Iron Hog,아이언호그,56,8600,102030100;102030200,84a47945d8734a8a9e9317eaed427ca9,monster4230103,hop,done
4230125,Skeledog,스켈독,62,12600,102040300;102040301,0ac80dbfd4e54d908caa008988b035e8,monster4230125,hop,done
