AchievementId,Name,Desc,CondType,CondParam,Target,AccountExp,TitleId,SortOrder,Enabled,#Note
ACH_MATCH_1,첫 출정,매치를 끝까지 치르고 순위 정산을 받는다,MATCH_SETTLED,0,1,20,TTL_ROOKIE,10,true,WO-031 §5 확정 2026-09-26 · 소
ACH_MATCH_10,단골 수비대,매치 정산 10판,MATCH_SETTLED,0,10,50,TTL_VETERAN,11,true,WO-031 §5 확정 2026-09-26 · 중
ACH_MATCH_50,빅토리아의 파수꾼,매치 정산 50판,MATCH_SETTLED,0,50,150,TTL_WARDEN,12,true,WO-031 §5 확정 2026-09-26 · 대
ACH_RANK1,첫 1위,매치에서 1위를 한다(난이도 무관),RANK_FIRST,0,1,40,TTL_SURVIVOR,20,true,WO-031 §5 확정 2026-09-26 · 소
ACH_RANK1_S5,★5 정상,★5 매치에서 1위를 한다,RANK_FIRST,5,1,150,TTL_LEGEND,21,true,WO-031 §5 확정 2026-09-26 · 대
ACH_BALROG,발록 토벌,발록이 쓰러진 매치에서 발록에게 피해를 준다,BALROG_HIT,0,1,80,TTL_BALROG,22,true,WO-031 §5 확정 2026-09-26 · 중
ACH_KILL_1K,사냥꾼,몬스터 누적 1000마리 처치,MONSTER_KILL,0,1000,40,TTL_HUNTER,30,true,WO-031 §5 확정 2026-09-26 · 소
ACH_KILL_10K,몬스터 헌터,몬스터 누적 10000마리 처치,MONSTER_KILL,0,10000,150,TTL_MONSTER_HUNTER,31,true,WO-031 §5 확정 2026-09-26 · 대
ACH_ELITE_10,거인 사냥,자이언트 누적 10마리 처치,ELITE_KILL,0,10,40,TTL_GIANT_SLAYER,32,true,WO-031 §5 확정 2026-09-26 · 소
ACH_BOSS_1,보스 헌터,지역 보스 처치 판정(최다 피해) 1회,BOSS_KILL,0,1,50,TTL_BOSS_HUNTER,33,true,WO-031 §5 확정 2026-09-26 · 중
ACH_BOSS_ALL,빅토리아 정복,보스 도감을 전부 발견한다,DEX_BOSS,0,0,150,TTL_CONQUEROR,34,true,WO-031 §5 확정 2026-09-26 · 대 · Target 0 = 전부
ACH_DEX_12,몬스터 학자,도감에서 몬스터 12종 발견,DEX_FOUND,0,12,40,TTL_SCHOLAR,40,true,WO-031 §5 확정 2026-09-26 · 소
ACH_DEX_ALL,몬스터 박사,도감의 일반 몬스터를 전부 발견한다,DEX_FOUND,0,0,100,TTL_DOCTOR,41,true,WO-031 §5 확정 2026-09-26 · 중 · Target 0 = 전 종
ACH_ENHANCE,강화의 달인,한 매치에서 장비 6칸을 모두 최대 강화,ENHANCE_ALL_MAX,0,1,60,TTL_ENHANCER,50,true,WO-031 §5 확정 2026-09-26 · 중 · 무기·모자·상의·하의·신발·장갑
ACH_RECRUIT_50,수비대장,수비대 누적 50마리 모집,RECRUIT,0,50,50,TTL_CAPTAIN,51,true,WO-031 §5 확정 2026-09-26 · 중
ACH_DISPATCH_100,원정대장,파병 누적 100마리,DISPATCH_UNITS,0,100,50,TTL_EXPEDITION,52,true,WO-031 §5 확정 2026-09-26 · 중
