BossId,SkillId,SkillName,Priority,ShapeType,RangeX,RangeY,OffsetX,OffsetY,CastDelay,Cooldown,Damage,HitCount,MinHpPercent,MaxHpPercent,ProjectileModelId,ProjectileSpeed,CastRUID,Enabled,ProjectileRUID,HitEffectRUID,RecoverTime,CastEffectRUID,CastEffectBehind,CastSoundRUID,HitSoundRUID,CastEffectOffsetX,CastEffectOffsetY,CastEffectScale,CastPlayRate,CastRUID2,CastDelay2,CastHitFrame,CastEffectAtStart,CastEffectPlayRate,CastEffectStartFrame,CastEffectEndFrame,ShotCount,ShotInterval,AimAtTarget,BuffMoveRate,BuffDuration,Reach,LoopStartFrame,LoopEndFrame,CloseEndFrame,#Note,CrouchBand
2220000,S1,마노 1번 (skill1),1,target,1.2,1.4,0.7,0.5,-1,5.0,30,1,0,100,,,c05453dd21fd4ed581d193930ab4c331,true,,,0.4,,,0cca47ebc8d446288fb54669d90cd711,,0,0,1.0,1.0,,0,5,false,1.0,0,-1,1,0.2,false,1,5,-1,-1,-1,-1,원본 클립 skill1(마노 팩에 공격 클립은 이것 하나뿐). ball 없어 근접. CastDelay -1 = 클립 실측 자동. CastHitFrame 5 = 판정을 0.45초 앞당김(사용자 확정 - 8은 한 박자 늦었다). 실측 1.20초/8프레임 = 프레임당 0.15초라 3프레임 당겼다 · f5~f7 세로로 솟음 108->152 · f8 폭 112->144 로 튀며 내려찍음 · f9 최대). CastSoundRUID 를 _audio/Attack1 로 바꿨다 - S2 소환과 같은 그림을 쓰므로 소리로 구분한다. Damage=AttackPower x 1.0 - 튜닝 대상,-1
2220000,S2,마노 달팽이 소환 (skill1),2,summon,2.5,0,0,0,-1,15,0,10,0,60,monster100000,0,c05453dd21fd4ed581d193930ab4c331,true,,,0.8,7607f6c025124ae8a717e1c59dff00c3,true,e1fee594c7c643a79f2de2bf9b02b350,,0,0,1.0,1.0,,0,5,true,1.0,0,-1,1,0.2,false,1,5,-1,-1,-1,-1,달팽이 3마리를 좌·중앙·우에 소환한다. 능력치는 MonsterInfo 그대로. RespawnOn=false 라 죽으면 사라진다. CastDelay -1 = 클립 실측 자동 · CastHitFrame 5 = 판정을 0.45초 앞당김(사용자 확정 - 8은 한 박자 늦었다). 실측 1.20초/8프레임 = 프레임당 0.15초라 3프레임 당겼다 ·HP구간은 플레이하며 튜닝할 자리,-1
6130101,S1,머쉬맘 지진파 공격 (attack1),2,ground,5.0,2.0,0,0.6,-1,5.0,150,1,0,100,,,90c5456e2a8a45478df02500797a9afd,true,,,0.5,05113e9dc86448cb8581731824106d75,false,f135fc39ffe94be18ef9c0f82d3669c5,7c8e5f1ef0b549c59aec820909458d4f,0,0,1.0,1.0,,0,4,true,1.0,0,-1,1,0.2,false,1,5,-1,-1,-1,-1,CastHitFrame 4 = 착지 프레임에서 판정(마지막 프레임은 복귀 자세라 제외). RecoverTime 0.5 로 그 마지막 프레임(눈 찌푸린 자세)을 붙잡는다 - 판정 직후 바로 움직이면 어색하다. CastDelay -1 = 클립 실측 자동 계산. 프레임 지연을 모르니 추측하지 않는다. 지진파 공격. attack1 5프레임(pivot y 0 -> -88 -> -70 -> -8 -> 0). 점프로 회피(ground). 판정 = 원본 스프라이트 복귀 순간(RecoverTime 0). 박스·사거리는 킹슬라임 S1 과 동일. 🔴 5프레임뿐인데 킹슬라임(8프레임)보다 궤적이 커서 같은 0.6배로는 너무 빨리 끝난다 -> 0.35배. CastDelay 1.6 은 그 속도에서의 클립 한 바퀴 추정값. 두 번 뛰면 내리고,-1
6130101,S2,머쉬맘 2번 (skill1),1,box,2.0,1.6,0.7,0.5,0.5,6.0,120,1,0,100,,,b9345875a8134c7c9a1b6aed8551d808,false,,,0.5,,,5da7bb48092947f395e9f76f601323ca,7c8e5f1ef0b549c59aec820909458d4f,0,0,1.0,1.0,,0,0,false,1.0,0,-1,1,0.2,false,1,5,-1,-1,-1,-1,비활성. 존재하지 않는 스킬이었다 - skill1 은 attack1 과 pivot 궤적·프레임 크기가 완전히 같은 복제 클립이고,-1
6130101,S3,머쉬맘 주황버섯 소환 (attack1),3,summon,2.5,0,0,0,-1,30.0,0,7,0,60,monster1210102,0,b9345875a8134c7c9a1b6aed8551d808,true,,,0.5,7607f6c025124ae8a717e1c59dff00c3,true,f135fc39ffe94be18ef9c0f82d3669c5,,0,0,1.0,1.0,,0,4,true,1.0,0,-1,1,0.2,false,1,5,-1,-1,-1,-1,CastHitFrame 4 = 착지 프레임에서 판정(마지막 프레임은 복귀 자세라 제외). RecoverTime 0.5 로 그 마지막 프레임(눈 찌푸린 자세)을 붙잡는다 - 판정 직후 바로 움직이면 어색하다. CastDelay -1 = 클립 실측 자동 계산. 프레임 지연을 모르니 추측하지 않는다. HP 60% 이하부터 주황버섯을 좌·중앙·우로 소환한다. 모션은 skill1 - 원본에서 이게 소환 시전 동작이다(킹슬라임과 같은 구조). attack1 과 그림은 같지만 전용 효과음이 다르다. 재생속도·시전시간은 S1 과 맞췄다(0.35배 / 1.6초) - 같은 클립이 다른 속도로 돌면 어색하다. 능력치는 MonsterInfo 그대로. RespawnOn=false 라 죽으면 사라진다,-1
9300003,S1,킹슬라임 지진파 공격 (attack1),2,ground,5.0,2.0,0,0.6,-1,5.0,180,1,0,100,,,763ee1a40786483f9671435c1a8e8537,true,,,0,e777797b543446548a1fdb855ac66f30,false,94b721bcc6d2404cbb1c0b1e13878eeb,6444bd2181fe43c487d52677f2ab1040,0,0,1.4,0.6,,0,6,false,1.0,0,2,1,0.2,false,1,5,-1,-1,-1,-1,지진파 공격. CastHitFrame 6 = 착지 판정. CastDelay -1 = 클립 실측 자동. 🔴 이펙트 13프레임에 폭발이 두 번 들어 있다 - 프레임 폭이 208->232 로 커졌다가 f3 에서 144 로 뚝 떨어지고 다시 156->212 로 커진다. 그래서 두 번 터지는 것처럼 보였다. 재생 속도로는 못 없애서 f0~f2(1차 폭발)만 쓴다. 너무 짧으면 EndFrame 을 늘린다,-1
9300003,S2,킹슬라임 2번 (skill1),1,box,2.0,1.6,0.7,0.5,0.5,6.0,144,1,0,100,,,bf6150842fff4f4aa0f3e8e97b574e59,false,,,0.5,,,e35d980959fe4cd3b8302331cfa742c3,6444bd2181fe43c487d52677f2ab1040,0,0,1.0,1.0,,0,0,false,1.0,0,-1,1,0.2,false,1,5,-1,-1,-1,-1,비활성. box 는 점프·숙이기 어느 쪽으로도 못 피하는 불가피 공격이라 발록 전용이다(사용자 확정). 게다가 이 클립(skill1)은 공격이 아니라 슬라임 소환 모션이었다 - S3 로 옮겼다,-1
9300003,S3,킹슬라임 슬라임 소환 (attack1),3,summon,2.5,0,0,0,-1,30.0,0,7,0,60,monster210100,0,bf6150842fff4f4aa0f3e8e97b574e59,true,,,1.0,7607f6c025124ae8a717e1c59dff00c3,true,94b721bcc6d2404cbb1c0b1e13878eeb,,0,0,1.0,0.6,,0,0,true,1.0,0,-1,1,0.2,false,1,5,-1,-1,-1,-1,CastDelay -1 = 클립 길이 자동 계산(Frame.Delay 합계 / CastPlayRate). 프레임 지연을 모르니 추측하지 않는다. HP 60% 이하부터 슬라임 7마리를 좌·중앙·우로 소환한다(쿨 30 - 템포 빠른 게임이라 45는 늘어진다). 모션은 skill1 - 킹슬라임 팩에 공격 클립이 attack1/skill1 둘뿐이라 S1 점프와 겹쳐 쓴다. 능력치는 MonsterInfo 그대로(Lv7 HP80). RespawnOn=false 라 죽으면 사라진다,-1
3220000,S1,스텀피 활력의 함성 (범위 이동속도 증가),1,buff,6.0,0,0,0,-1,15.0,0,1,0,100,,0,7731041d2d2d4d1daaef345c1c8d8ef5,true,,,0.3,,,767b7de0d1e9447b91edbaeed49e7c2b,,0,0,1.0,0.8,,0,14,,1.0,0,-1,1,0.2,false,1.5,10,-1,-1,-1,-1,범위형 이동속도 버프(사용자 확정). 반경 RangeX=6.0 안의 script.Monster 전원 - 보스 자신과 소환된 고스텀피 포함. 모션은 skill1 = attack2 와 같은 동작의 18프레임 복제본(스텀피에 남는 클립이 이것뿐이다 - S4 소환과 모션이 겹치지만 S4 는 바닥에 소환진이 깔려 구분된다). CastHitFrame 14 = stand 꼬리 잘라내기,-1
3220000,S2,스텀피 기 모으기 연사 (입 벌려 6연발),2,projectile,0.8,0.8,0.7,0.5,-1,20,45,1,0,100,bossprojectile,1.5,c2e78c4ac4924aa28e2892d108d22f73,true,c6b3f052e977479ea5ad5329ce0981ca,742d278f9c404b55abe9671c2ec23cea,5.5,,,01c18b475d034421a49eceb0e8177dab,87191102a92f4ee88c2ac991d98309b1,0,0,1.0,0.55,,0,9,,1.0,0,-1,6,1.0,true,1,5,7.0,5,9,13,모션은 attack2 = f0 입 닫힘 -> f5~f8 이빨이 황금빛으로 빛나며 크게 벌림 -> f9 입에서 구슬 발사 -> f10~f13 입 닫힘. CastHitFrame 9 = f0~f8 이 기 모으기(캐스팅). LoopStartFrame 5 / LoopEndFrame 9 = 연사 중 f5~f9 반복 - 한 바퀴가 ShotInterval(1.0초)과 같아지도록 재생속도를 자동 계산해서 오므렸다 열 때마다 한 발이 나간다. CloseEndFrame 13 = 마지막 발 뒤 f10~f13 으로 입을 닫고 끝낸다. 5초간 6발(첫 발 + 1초 간격 5발). ProjectileSpeed 1.5 = 예전의 절반. Reach 7.0 을 직접 지정 - 안 하면 속도x1.5 = 2.25 라 근접기가 돼 버린다. RecoverTime 5.5 = (ShotCount-1)xShotInterval + 입 닫기,-1
