RecipeId,ShopKey,ResultItemId,ResultCount,MesoCost,Mat1ItemId,Mat1Count,Mat2ItemId,Mat2Count,Enabled,#Note
RECIPE_WEAPON_WARRIOR_T10,REGION_PERION,WEAPON_WARRIOR_T10,1,300,REGION_PERION_WARRIOR_TOKEN,5,,0,true,제작 장인·지역 장비 상인이 같은 표를 쓴다(장비 구입 = 제작 · 사용자 2026-09-06). ShopKey = NPC 가 선 맵의 지역(임시 · VillageConfig 전) · MesoCost = 판매가와 동일 · Mat1 = 지역재화 5/15/40 · 값은 m1-balance
RECIPE_HAT_WARRIOR_T10,REGION_PERION,HAT_WARRIOR_T10,1,150,REGION_PERION_WARRIOR_TOKEN,5,,0,true,
RECIPE_TOP_WARRIOR_T10,REGION_PERION,TOP_WARRIOR_T10,1,150,REGION_PERION_WARRIOR_TOKEN,5,,0,true,
RECIPE_BOTTOM_WARRIOR_T10,REGION_PERION,BOTTOM_WARRIOR_T10,1,150,REGION_PERION_WARRIOR_TOKEN,5,,0,true,
RECIPE_SHOES_WARRIOR_T10,REGION_PERION,SHOES_WARRIOR_T10,1,150,REGION_PERION_WARRIOR_TOKEN,5,,0,true,
RECIPE_GLOVES_WARRIOR_T10,REGION_PERION,GLOVES_WARRIOR_T10,1,150,REGION_PERION_WARRIOR_TOKEN,5,,0,true,
RECIPE_WEAPON_WARRIOR_T20,REGION_PERION,WEAPON_WARRIOR_T20,1,1000,REGION_PERION_WARRIOR_TOKEN,15,,0,true,
RECIPE_HAT_WARRIOR_T20,REGION_PERION,HAT_WARRIOR_T20,1,500,REGION_PERION_WARRIOR_TOKEN,15,,0,true,
RECIPE_TOP_WARRIOR_T20,REGION_PERION,TOP_WARRIOR_T20,1,500,REGION_PERION_WARRIOR_TOKEN,15,,0,true,
RECIPE_BOTTOM_WARRIOR_T20,REGION_PERION,BOTTOM_WARRIOR_T20,1,500,REGION_PERION_WARRIOR_TOKEN,15,,0,true,
RECIPE_SHOES_WARRIOR_T20,REGION_PERION,SHOES_WARRIOR_T20,1,500,REGION_PERION_WARRIOR_TOKEN,15,,0,true,
RECIPE_GLOVES_WARRIOR_T20,REGION_PERION,GLOVES_WARRIOR_T20,1,500,REGION_PERION_WARRIOR_TOKEN,15,,0,true,
RECIPE_WEAPON_WARRIOR_T30,REGION_PERION,WEAPON_WARRIOR_T30,1,3000,REGION_PERION_WARRIOR_TOKEN,40,,0,true,
RECIPE_HAT_WARRIOR_T30,REGION_PERION,HAT_WARRIOR_T30,1,1500,REGION_PERION_WARRIOR_TOKEN,40,,0,true,
RECIPE_TOP_WARRIOR_T30,REGION_PERION,TOP_WARRIOR_T30,1,1500,REGION_PERION_WARRIOR_TOKEN,40,,0,true,
RECIPE_BOTTOM_WARRIOR_T30,REGION_PERION,BOTTOM_WARRIOR_T30,1,1500,REGION_PERION_WARRIOR_TOKEN,40,,0,true,
RECIPE_SHOES_WARRIOR_T30,REGION_PERION,SHOES_WARRIOR_T30,1,1500,REGION_PERION_WARRIOR_TOKEN,40,,0,true,
RECIPE_GLOVES_WARRIOR_T30,REGION_PERION,GLOVES_WARRIOR_T30,1,1500,REGION_PERION_WARRIOR_TOKEN,40,,0,true,
RECIPE_WEAPON_MAGICIAN_T10,REGION_ELLINIA,WEAPON_MAGICIAN_T10,1,300,REGION_ELLINIA_SPIRIT_DUST,5,,0,true,
RECIPE_HAT_MAGICIAN_T10,REGION_ELLINIA,HAT_MAGICIAN_T10,1,150,REGION_ELLINIA_SPIRIT_DUST,5,,0,true,
RECIPE_TOP_MAGICIAN_T10,REGION_ELLINIA,TOP_MAGICIAN_T10,1,150,REGION_ELLINIA_SPIRIT_DUST,5,,0,true,
RECIPE_BOTTOM_MAGICIAN_T10,REGION_ELLINIA,BOTTOM_MAGICIAN_T10,1,150,REGION_ELLINIA_SPIRIT_DUST,5,,0,true,
