Difficulty,Key,Value,Enabled,#Note
1,MINION_P3_BOOST,0,true,3P 웨이브 강화 (0 = 2P 마지막 행 값으로 대체 · ★1)
1,ZOMBIE_MUL,0,true,좀비머쉬맘 마릿수 배율 (★1 0 · ★5 2)
1,BALROG_HP_MUL,0.5,true,주니어 발록 MaxHp 배율 (기준 38000)
1,BALROG_ATK_MUL,0.5,true,주니어 발록 AttackPower 배율
1,BOSS_HP_MUL,0.5,true,지역 보스 MaxHp 배율
1,BOSS_ATK_MUL,0.5,true,지역 보스 AttackPower 배율
1,MATCH_EXP_MUL,1.5,true,매치 처치 경험치 배율 (FarmReward → GrantKillReward)
1,ACCOUNT_EXP_MUL,0.5,true,계정 경험치 보상 배율 (B8 소비)
1,ELITE_PER_KILLS,25,true,엘리트 등장 누적 처치 수 (B7 소비)
1,ELITE_COUNT,1,true,엘리트 등장 마릿수 (B7 소비 · ★5 2)
1,REGION_DROP_MUL,1,true,다른 지역 재화 드롭 배율 (내 마을 지역 밖에서만 · ★5 2)
1,BALROG_TICKET,5,true,발록 입장권 낙인의 영혼석 개수 (도전마다 소모)
1,BOSS_SOULSTONE,20,true,지역 보스 1마리 최다 피해자 영혼석 (BossReward.SoulstoneStar* 가 비면 이 값)
1,UNLOCK_ACCOUNT_LV,1,true,해금 계정 레벨 (MatchLobbyGateway 생성·참가 거절)
1,TITLE,입문,true,선택창 제목
1,INTRO,처음 오는 사람을 위한 판. 빠르게 만렙을 찍고 발록에 도전해 본다,true,선택창 소개 1줄
1,NEG,계정 경험치 보상 절반,true,부정적 차이점 1줄
1,POS,매치 경험치 1.5배 · 3페이즈 강화 없음 · 좀비머쉬맘 없음 · 보스 HP와 공격 절반,true,긍정적 차이점 1줄
1,REWARD,발록 입장권 5개 · 지역 보스 영혼석 20개,true,보상 크기 요약
1,HARD,쉬움,true,난이도 요약
1,TIP,무료 심장으로 낼 수 있는 유일한 난이도. 사냥과 마을 운영을 익히자,true,권장 플레이 1줄
3,MINION_P3_BOOST,1,true,3P 웨이브 강화 (0 = 2P 마지막 행 값으로 대체 · ★1)
3,ZOMBIE_MUL,1,true,좀비머쉬맘 마릿수 배율 (★1 0 · ★5 2)
3,BALROG_HP_MUL,1,true,주니어 발록 MaxHp 배율 (기준 38000)
3,BALROG_ATK_MUL,1,true,주니어 발록 AttackPower 배율
3,BOSS_HP_MUL,1,true,지역 보스 MaxHp 배율
3,BOSS_ATK_MUL,1,true,지역 보스 AttackPower 배율
3,MATCH_EXP_MUL,1,true,매치 처치 경험치 배율 (FarmReward → GrantKillReward)
3,ACCOUNT_EXP_MUL,1,true,계정 경험치 보상 배율 (B8 소비)
3,ELITE_PER_KILLS,25,true,엘리트 등장 누적 처치 수 (B7 소비)
3,ELITE_COUNT,1,true,엘리트 등장 마릿수 (B7 소비 · ★5 2)
3,REGION_DROP_MUL,1,true,다른 지역 재화 드롭 배율 (내 마을 지역 밖에서만 · ★5 2)
3,BALROG_TICKET,30,true,발록 입장권 낙인의 영혼석 개수 (도전마다 소모)
3,BOSS_SOULSTONE,30,true,지역 보스 1마리 최다 피해자 영혼석 (BossReward.SoulstoneStar* 가 비면 이 값)
3,UNLOCK_ACCOUNT_LV,5,true,해금 계정 레벨 (MatchLobbyGateway 생성·참가 거절)
3,TITLE,노멀,true,선택창 제목
3,INTRO,기준이 되는 판. 사냥과 수비와 발록을 전부 제대로 겪는다,true,선택창 소개 1줄
3,NEG,3페이즈부터 미니언이 강해지고 좀비머쉬맘이 온다,true,부정적 차이점 1줄
3,POS,모든 보상이 기준값,true,긍정적 차이점 1줄
3,REWARD,발록 입장권 30개 · 지역 보스 영혼석 30개,true,보상 크기 요약
3,HARD,보통,true,난이도 요약
3,TIP,계정 Lv5부터. 수비대 두 종류를 2페이즈 전에 갖추자,true,권장 플레이 1줄
5,MINION_P3_BOOST,1,true,3P 웨이브 강화 (0 = 2P 마지막 행 값으로 대체 · ★1)
5,ZOMBIE_MUL,2,true,좀비머쉬맘 마릿수 배율 (★1 0 · ★5 2)
5,BALROG_HP_MUL,2,true,주니어 발록 MaxHp 배율 (기준 38000)
5,BALROG_ATK_MUL,2,true,주니어 발록 AttackPower 배율
5,BOSS_HP_MUL,1.5,true,지역 보스 MaxHp 배율
5,BOSS_ATK_MUL,1.5,true,지역 보스 AttackPower 배율
5,MATCH_EXP_MUL,1,true,매치 처치 경험치 배율 (FarmReward → GrantKillReward)
5,ACCOUNT_EXP_MUL,1,true,계정 경험치 보상 배율 (B8 소비)
5,ELITE_PER_KILLS,25,true,엘리트 등장 누적 처치 수 (B7 소비)
5,ELITE_COUNT,2,true,엘리트 등장 마릿수 (B7 소비 · ★5 2)
5,REGION_DROP_MUL,2,true,다른 지역 재화 드롭 배율 (내 마을 지역 밖에서만 · ★5 2)
5,BALROG_TICKET,200,true,발록 입장권 낙인의 영혼석 개수 (도전마다 소모)
5,BOSS_SOULSTONE,60,true,지역 보스 1마리 최다 피해자 영혼석 (BossReward.SoulstoneStar* 가 비면 이 값)
5,UNLOCK_ACCOUNT_LV,13,true,해금 계정 레벨 (MatchLobbyGateway 생성·참가 거절)
5,TITLE,랭커 도전,true,선택창 제목
5,INTRO,최적 보석과 지역 보스까지 필수인 최고 난이도,true,선택창 소개 1줄
5,NEG,발록 HP·공격 2배 · 지역 보스 1.5배 · 좀비머쉬맘 2배 · 엘리트 2배 · 인공심장 사용 불가,true,부정적 차이점 1줄
5,POS,다른 지역 재화 드롭 2배 · 계정 경험치 최대,true,긍정적 차이점 1줄
5,REWARD,발록 입장권 200개 · 지역 보스 영혼석 60개,true,보상 크기 요약
5,HARD,매우 어려움,true,난이도 요약
5,TIP,계정 Lv13부터. 지역 보스 3~4마리를 잡아야 도전 1회분이 모인다,true,권장 플레이 1줄
