SourceKind,SourceId,ItemId,Chance,CountMin,CountMax,Enabled,#Note
GROUND,1,GEM_RANDOM,0.20,1,1,true,사냥터 1(Lv10) 보석 · 12종 무작위(DropTableLogic 토큰) · WO-027 §6 초안
GROUND,1,REGION_LOCAL,0.35,1,1,true,사냥터 1 지역 재화 · 그 맵 지역의 REGION_* (토큰)
GROUND,2,GEM_RANDOM,0.35,1,1,true,사냥터 2(Lv17) 보석
GROUND,2,REGION_LOCAL,0.75,1,1,true,사냥터 2 지역 재화
GROUND,3,GEM_RANDOM,0.55,1,1,true,사냥터 3(Lv24) 보석
GROUND,3,REGION_LOCAL,1.0,3,4,true,사냥터 3 지역 재화 3개 확정 + 50% 로 1개 더(= 3~4 균등 · 키 중복을 피해 CountMax 로 표현)
MONSTER,1210102,MAT_1210102,0.25,1,1,true,몬스터별 재화 · HENESYS 사냥터1 주황버섯 · WO-027 §6 (0.25) · 2026-09-23 B5
MONSTER,2220100,MAT_2220100,0.35,1,1,true,몬스터별 재화 · HENESYS 사냥터2 파란버섯 · WO-027 §6 (0.35) · 2026-09-23 B5
MONSTER,5130102,MAT_5130102,0.50,1,1,true,몬스터별 재화 · HENESYS 사냥터3 다크 스톤골렘 · WO-027 §6 (0.50) · 2026-09-23 B5
MONSTER,2230100,MAT_2230100,0.25,1,1,true,몬스터별 재화 · ELLINIA 사냥터1 이블아이 · WO-027 §6 (0.25) · 2026-09-23 B5
MONSTER,3230100,MAT_3230100,0.35,1,1,true,몬스터별 재화 · ELLINIA 사냥터2 커즈아이 · WO-027 §6 (0.35) · 2026-09-23 B5
MONSTER,4230100,MAT_4230100,0.50,1,1,true,몬스터별 재화 · ELLINIA 사냥터3 콜드아이 · WO-027 §6 (0.50) · 2026-09-23 B5
MONSTER,1120100,MAT_1120100,0.25,1,1,true,몬스터별 재화 · KERNING 사냥터1 옥토퍼스 · WO-027 §6 (0.25) · 2026-09-23 B5
MONSTER,2130103,MAT_2130103,0.35,1,1,true,몬스터별 재화 · KERNING 사냥터2 주니어 네키 · WO-027 §6 (0.35) · 2026-09-23 B5
MONSTER,3230300,MAT_3230300,0.25,1,1,true,몬스터별 재화 · PERION 사냥터1 주니어 부기 · WO-027 §6 (0.25) · 2026-09-23 B5
MONSTER,130100,MAT_130100,0.35,1,1,true,몬스터별 재화 · PERION 사냥터2 스텀프 · WO-027 §6 (0.35) · 2026-09-23 B5
MONSTER,2230102,MAT_2230102,0.50,1,1,true,몬스터별 재화 · PERION 사냥터3 와일드보어 · WO-027 §6 (0.50) · 2026-09-23 B5
MONSTER,1210100,MAT_1210100,0.25,1,1,true,몬스터별 재화 · NAUTILUS 사냥터1 돼지 · WO-027 §6 (0.25) · 2026-09-23 B5
MONSTER,1210101,MAT_1210101,0.35,1,1,true,몬스터별 재화 · NAUTILUS 사냥터2 리본 돼지 · WO-027 §6 (0.35) · 2026-09-23 B5
MONSTER,1210104,MAT_1210104,0.50,1,1,true,몬스터별 재화 · NAUTILUS 사냥터3 파란 리본돼지 · WO-027 §6 (0.50) · 2026-09-23 B5
