EliteId,Name,BaseMonsterId,Level,MaxHp,ModelId,MoveType,AiType,AttackPower,Defense,KnockbackResist,MoveSpeed,MaterialId,MaterialMin,MaterialMax,Exp,Meso,Enabled,ScaleMul,CoinDrop,DreamDrop,SoulstoneDrop,Tier,#Note
E100000,자이언트 달팽이,100000,1,425,monster100000,walk,chase,600,0,0,,,0,0,50,30,true,1.6,2,2,1,1,자이언트 달팽이 · 베이스 Lv1 HP17 공격150 → HP×25 공격×4 Exp×10 메소×10 · 사냥터1 크기×1.6 (WO-027 §9-0 21 · B7)
E100101,자이언트 파란 달팽이,100101,1,575,monster100101,walk,chase,600,0,0,,,0,0,50,30,true,1.6,2,2,1,1,자이언트 파란 달팽이 · 베이스 Lv1 HP23 공격150 → HP×25 공격×4 Exp×10 메소×10 · 사냥터1 크기×1.6 (WO-027 §9-0 21 · B7)
E120100,자이언트 스포아,120100,3,800,monster120100,walk,chase,660,0,0,,,0,0,80,50,true,1.6,2,2,1,1,자이언트 스포아 · 베이스 Lv3 HP32 공격165 → HP×25 공격×4 Exp×10 메소×10 · 사냥터1 크기×1.6 (WO-027 §9-0 21 · B7)
E130100,자이언트 스텀프,130100,17,8125,monster130100,walk,chase,1080,0,0,,,0,0,380,1800,true,1.8,4,4,1,2,자이언트 스텀프 · 베이스 Lv17 HP325 공격270 → HP×25 공격×4 Exp×10 메소×10 · 사냥터2 크기×1.8 (WO-027 §9-0 21 · B7)
E130101,자이언트 빨간 달팽이,130101,4,1125,monster130101,walk,chase,688,0,0,,,0,0,100,70,true,1.6,2,2,1,1,자이언트 빨간 달팽이 · 베이스 Lv4 HP45 공격172 → HP×25 공격×4 Exp×10 메소×10 · 사냥터1 크기×1.6 (WO-027 §9-0 21 · B7)
E210100,자이언트 슬라임,210100,17,6500,monster210100,hop,chase,1080,0,0,0.65,,0,0,380,1800,true,1.8,4,4,1,2,자이언트 슬라임 · 베이스 Lv17 HP260 공격270 → HP×25 공격×4 Exp×10 메소×10 · 사냥터2 크기×1.8 (WO-027 §9-0 21 · B7)
E1110100,자이언트 초록버섯,1110100,10,3500,monster1110100,walk,chase,872,0,0,,,0,0,220,600,true,1.6,2,2,1,1,자이언트 초록버섯 · 베이스 Lv10 HP140 공격218 → HP×25 공격×4 Exp×10 메소×10 · 사냥터1 크기×1.6 (WO-027 §9-0 21 · B7)
E1120100,자이언트 옥토퍼스,1120100,10,3500,monster1120100,walk,chase,872,0,0,,,0,0,220,600,true,1.6,2,2,1,1,자이언트 옥토퍼스 · 베이스 Lv10 HP140 공격218 → HP×25 공격×4 Exp×10 메소×10 · 사냥터1 크기×1.6 (WO-027 §9-0 21 · B7)
E1210100,자이언트 돼지,1210100,10,3000,monster1210100,hop,chase,872,0,0,0.65,,0,0,220,600,true,1.6,2,2,1,1,자이언트 돼지 · 베이스 Lv10 HP120 공격218 → HP×25 공격×4 Exp×10 메소×10 · 사냥터1 크기×1.6 (WO-027 §9-0 21 · B7)
E1210101,자이언트 리본 돼지,1210101,17,7000,monster1210101,hop,chase,1080,0,0,0.65,,0,0,380,1800,true,1.8,4,4,1,2,자이언트 리본 돼지 · 베이스 Lv17 HP280 공격270 → HP×25 공격×4 Exp×10 메소×10 · 사냥터2 크기×1.8 (WO-027 §9-0 21 · B7)
E1210102,자이언트 주황버섯,1210102,10,3500,monster1210102,hop,chase,872,0,0,0.65,,0,0,220,600,true,1.6,2,2,1,1,자이언트 주황버섯 · 베이스 Lv10 HP140 공격218 → HP×25 공격×4 Exp×10 메소×10 · 사냥터1 크기×1.6 (WO-027 §9-0 21 · B7)
E1210104,자이언트 파란 리본돼지,1210104,24,11000,monster1210104,walk,chase,1288,0,0,,,0,0,700,4500,true,2.0,6,6,1,3,자이언트 파란 리본돼지 · 베이스 Lv24 HP440 공격322 → HP×25 공격×4 Exp×10 메소×10 · 사냥터3 크기×2.0 (WO-027 §9-0 21 · B7)
E2130103,자이언트 주니어 네키,2130103,17,11375,monster2130103,walk,chase,1080,0,0,,,0,0,380,1800,true,1.8,4,4,1,2,자이언트 주니어 네키 · 베이스 Lv17 HP455 공격270 → HP×25 공격×4 Exp×10 메소×10 · 사냥터2 크기×1.8 (WO-027 §9-0 21 · B7)
E2220100,자이언트 파란버섯,2220100,17,7500,monster2220100,hop,chase,1080,0,0,0.65,,0,0,380,1800,true,1.8,4,4,1,2,자이언트 파란버섯 · 베이스 Lv17 HP300 공격270 → HP×25 공격×4 Exp×10 메소×10 · 사냥터2 크기×1.8 (WO-027 §9-0 21 · B7)
