EquipSlot,ReqLevel,EnhanceLevel,AddStr,AddDex,AddInt,AddLuk,AddAttack,AddMagic,AddDefense,AddSpeed,AddJump,AddAccuracy,AddAvoid,AddMaxHp,AddMaxMp,Enabled,#Note
WEAPON,1,1,2,2,2,2,2,2,0,1,1,2,2,10,10,true,⑫ B안(사용자 확정 2026-09-05): AddDefense 는 보석과 무관한 단계별 고정치(방어구만). 나머지 Add* 는 그 단계에 넣은 보석 1개당 그 스탯 상승량(보석이 스탯을 고르고 양은 이 표가 정한다 · GemInfo.AddPerLevel 미사용). 무기 외 부위는 AddAttack/AddMagic 0 = 다이아·사파이어 효과 없음(UI 비활성·서버 거절). 가정 기본치 무기 17→27→40→56 / 모자 방 3→6→10→15 / 상하신 2→4→7→11 / 장갑 1→2→4→6. 규칙 base(L)+풀강(보석 6개 주스탯) ≈ 1.05×base(L+10) · 30렙은 하이스펙(사용자). 티어 = 요구레벨 이하 최대
WEAPON,1,2,2,2,2,2,2,2,0,1,1,2,2,10,10,true,
WEAPON,1,3,2,2,2,2,2,2,0,1,1,2,2,10,10,true,
WEAPON,10,1,3,3,3,3,3,3,0,1,1,3,3,20,20,true,
WEAPON,10,2,3,3,3,3,3,3,0,1,1,3,3,20,20,true,
WEAPON,10,3,3,3,3,3,2,2,0,1,1,3,3,20,20,true,
WEAPON,20,1,4,4,4,4,4,4,0,2,2,4,4,30,30,true,
WEAPON,20,2,4,4,4,4,3,3,0,2,2,4,4,30,30,true,
WEAPON,20,3,4,4,4,4,3,3,0,2,2,4,4,30,30,true,
WEAPON,30,1,6,6,6,6,5,5,0,2,2,6,6,50,50,true,
WEAPON,30,2,6,6,6,6,5,5,0,2,2,6,6,50,50,true,
WEAPON,30,3,6,6,6,6,5,5,0,2,2,6,6,50,50,true,
HAT,1,1,2,2,2,2,0,0,1,1,1,2,2,10,10,true,
HAT,1,2,2,2,2,2,0,0,1,1,1,2,2,10,10,true,
HAT,1,3,2,2,2,2,0,0,1,1,1,2,2,10,10,true,
HAT,10,1,3,3,3,3,0,0,1,1,1,3,3,20,20,true,
HAT,10,2,3,3,3,3,0,0,2,1,1,3,3,20,20,true,
HAT,10,3,3,3,3,3,0,0,2,1,1,3,3,20,20,true,
HAT,20,1,4,4,4,4,0,0,2,2,2,4,4,30,30,true,
HAT,20,2,4,4,4,4,0,0,2,2,2,4,4,30,30,true,
HAT,20,3,4,4,4,4,0,0,2,2,2,4,4,30,30,true,
HAT,30,1,6,6,6,6,0,0,3,2,2,6,6,50,50,true,
HAT,30,2,6,6,6,6,0,0,3,2,2,6,6,50,50,true,
HAT,30,3,6,6,6,6,0,0,3,2,2,6,6,50,50,true,
TOP,1,1,2,2,2,2,0,0,0,1,1,2,2,10,10,true,
TOP,1,2,2,2,2,2,0,0,1,1,1,2,2,10,10,true,
TOP,1,3,2,2,2,2,0,0,1,1,1,2,2,10,10,true,
TOP,10,1,3,3,3,3,0,0,1,1,1,3,3,20,20,true,
TOP,10,2,3,3,3,3,0,0,1,1,1,3,3,20,20,true,
TOP,10,3,3,3,3,3,0,0,1,1,1,3,3,20,20,true,
TOP,20,1,4,4,4,4,0,0,1,2,2,4,4,30,30,true,
TOP,20,2,4,4,4,4,0,0,2,2,2,4,4,30,30,true,
TOP,20,3,4,4,4,4,0,0,2,2,2,4,4,30,30,true,
TOP,30,1,6,6,6,6,0,0,2,2,2,6,6,50,50,true,
TOP,30,2,6,6,6,6,0,0,3,2,2,6,6,50,50,true,
TOP,30,3,6,6,6,6,0,0,3,2,2,6,6,50,50,true,
BOTTOM,1,1,2,2,2,2,0,0,0,1,1,2,2,10,10,true,
BOTTOM,1,2,2,2,2,2,0,0,1,1,1,2,2,10,10,true,
BOTTOM,1,3,2,2,2,2,0,0,1,1,1,2,2,10,10,true,
BOTTOM,10,1,3,3,3,3,0,0,1,1,1,3,3,20,20,true,
BOTTOM,10,2,3,3,3,3,0,0,1,1,1,3,3,20,20,true,
BOTTOM,10,3,3,3,3,3,0,0,1,1,1,3,3,20,20,true,
BOTTOM,20,1,4,4,4,4,0,0,1,2,2,4,4,30,30,true,
BOTTOM,20,2,4,4,4,4,0,0,2,2,2,4,4,30,30,true,
BOTTOM,20,3,4,4,4,4,0,0,2,2,2,4,4,30,30,true,
BOTTOM,30,1,6,6,6,6,0,0,2,2,2,6,6,50,50,true,
BOTTOM,30,2,6,6,6,6,0,0,3,2,2,6,6,50,50,true,
BOTTOM,30,3,6,6,6,6,0,0,3,2,2,6,6,50,50,true,
SHOES,1,1,2,2,2,2,0,0,0,1,1,2,2,10,10,true,
SHOES,1,2,2,2,2,2,0,0,1,1,1,2,2,10,10,true,
SHOES,1,3,2,2,2,2,0,0,1,1,1,2,2,10,10,true,
SHOES,10,1,3,3,3,3,0,0,1,1,1,3,3,20,20,true,
SHOES,10,2,3,3,3,3,0,0,1,1,1,3,3,20,20,true,
SHOES,10,3,3,3,3,3,0,0,1,1,1,3,3,20,20,true,
SHOES,20,1,4,4,4,4,0,0,1,2,2,4,4,30,30,true,
SHOES,20,2,4,4,4,4,0,0,2,2,2,4,4,30,30,true,
SHOES,20,3,4,4,4,4,0,0,2,2,2,4,4,30,30,true,
SHOES,30,1,6,6,6,6,0,0,2,2,2,6,6,50,50,true,
SHOES,30,2,6,6,6,6,0,0,3,2,2,6,6,50,50,true,
SHOES,30,3,6,6,6,6,0,0,3,2,2,6,6,50,50,true,
GLOVES,1,1,2,2,2,2,0,0,0,1,1,2,2,10,10,true,
GLOVES,1,2,2,2,2,2,0,0,0,1,1,2,2,10,10,true,
GLOVES,1,3,2,2,2,2,0,0,1,1,1,2,2,10,10,true,
GLOVES,10,1,3,3,3,3,0,0,1,1,1,3,3,20,20,true,
GLOVES,10,2,3,3,3,3,0,0,1,1,1,3,3,20,20,true,
GLOVES,10,3,3,3,3,3,0,0,1,1,1,3,3,20,20,true,
GLOVES,20,1,4,4,4,4,0,0,1,2,2,4,4,30,30,true,
GLOVES,20,2,4,4,4,4,0,0,1,2,2,4,4,30,30,true,
GLOVES,20,3,4,4,4,4,0,0,1,2,2,4,4,30,30,true,
GLOVES,30,1,6,6,6,6,0,0,2,2,2,6,6,50,50,true,
GLOVES,30,2,6,6,6,6,0,0,2,2,2,6,6,50,50,true,
GLOVES,30,3,6,6,6,6,0,0,2,2,2,6,6,50,50,true,
