VillageId,Stage,Level,Mode,BallRuid,Ball2Ruid,HitRuid,CastRuid,CountMin,CountMax,IntervalSec,Scale,HitScale,FlightSec,ArcHeight,StickSec,LaunchOffsetY,CastOffsetY,FaceDeg,Enabled,SplitHits,HitStartFrame,#Note
HENESYS,TOWER,1,SHOT,21360dd335dc4c3abb83c3de41001978,,ac818eba02d946458e45a778e41cbaf6,,3,4,0,0.4,0.5,0.45,1.2,0,,0,180,true,false,0,H-2 애로우 블로우 강화(321) · 화살 3~4개 겹쳐서 (사용자 2026-09-14) · Scale 은 실물 보고 조정
HENESYS,TOWER,2,SHOT,ca66b992cea9400eab7d6d202bcb7a60,,e9f79919864b460dbb45c8592c64a336,,6,8,0,0.6,0.5,0.45,1.2,0,,0,180,true,false,0,H-3 애로우 블로우 강화(311) · 6~8개 · special 안 씀
HENESYS,TOWER,3,SHOT,5d7e68406f054d7daf0ee327b96ec8d7,,e6c88bb840974ef69576eb2496f82846,,6,8,0,0.7,0.6,0.45,1.2,0,,0,180,true,false,0,H-9 플레임 샷 · 6~8개
HENESYS,SUPPRESSOR,1,SHOT,21360dd335dc4c3abb83c3de41001978,,ac818eba02d946458e45a778e41cbaf6,,3,4,0,0.4,0.5,0.45,1.2,0,1.0,0,180,true,false,0,억제기 = 포탑 Lv1 화살과 같게 · 출발은 조금 아래(+0.6 · 포탑은 머리 위 1.125) (사용자 2026-09-14)
HENESYS,SUPPRESSOR,2,SHOT,ca66b992cea9400eab7d6d202bcb7a60,,e9f79919864b460dbb45c8592c64a336,,6,8,0,0.6,0.5,0.45,1.2,0,1.0,0,180,true,false,0,억제기 = 포탑 Lv2 화살과 같게 · 출발은 조금 아래(+0.6 · 포탑은 머리 위 1.125) (사용자 2026-09-14)
HENESYS,SUPPRESSOR,3,SHOT,5d7e68406f054d7daf0ee327b96ec8d7,,e6c88bb840974ef69576eb2496f82846,,6,8,0,0.7,0.6,0.45,1.2,0,1.0,0,180,true,false,0,억제기 = 포탑 Lv3 화살과 같게 · 출발은 조금 아래(+0.6 · 포탑은 머리 위 1.125) (사용자 2026-09-14)
KERNING,TOWER,1,SHOT,63af9dc845db4da2960172417b3eee5d,,4c42f0632fa249c29b8394c10d7634fe,,1,1,0,1.2,0.5,0.4,1.0,0.35,,0,180,true,false,0,K-6 트리플 스로우 표창(작아서 1.2배) · 맞으면 hit/0 · 빗나가면 땅에 0.35초 박힘
KERNING,TOWER,2,SHOT,1615c0292d0a4660a9472f122291c9a0,,4c42f0632fa249c29b8394c10d7634fe,,1,1,0,0.7,0.5,0.4,1.0,0.35,,0,180,true,false,0,K-9 단품 수리검(107×107) · 적중은 K-6 hit/0 차용 · 땅 0.35초
KERNING,TOWER,3,SHOT,564d50452ba34719815ae3c6ef6b8f2f,,cd78f86bb3cb40ebb40ecfcfa8a0240f,,1,1,0,0.35,0.5,0.4,1.0,0.35,,0,180,true,false,0,K-1 shootobj/layerList/b1 대형 수리검(400×302 · 축소 0.35) · 맞으면 hit/0 · 땅 0.35초
ELLINIA,TOWER,1,CAST_HIT,,,55bb9e09d26741f0bdfe6504d986fbbb,999c9bef664749f987ccad0fbd91cc9d,1,1,0,1.0,0.5,0.6,1.2,0,,0,180,true,false,0,E-1 서클 오브 썬더 · 시전 = 파란 룬 마법진(999c9bef 177×190 · 시설 가운데 +0.55) → 0.6초 뒤 표적 위치에 번개(스킬 effect 421×277 · 0.5) + 피해 (2026-09-14 사용자: 마법진 뒤 번개는 몬스터 쪽에)
