VillageId,Stage,WorldRuid,IconRuid,FlipY,GroundOffset,BarOffset,Enabled,FlipX,Scale,#Note
HENESYS,TOWER,b772211b0bb34681828c6d4be5a566c5,b772211b0bb34681828c6d4be5a566c5,false,1.125,1.2,true,true,,그룹 리소스 Henesis_Tower (2026-09-08 업로드)
HENESYS,SUPPRESSOR,b3d441e112dd4423ad29849b23c36645,b3d441e112dd4423ad29849b23c36645,false,1.51,1.68,true,true,,그룹 리소스 Henesys_Inhibitor_Crossbow (2026-09-15 업로드 · 1214×1295 · 석궁 버전) · FlipX true(포탑과 같은 방향 · 사용자 2026-09-15)
HENESYS,CORE,ca23c8d486c14f4baf199aa077f8f301,ca23c8d486c14f4baf199aa077f8f301,false,1.125,1.2,true,true,,그룹 리소스 Henesis_Nexus (2026-09-08 업로드) · FlipX true(포탑과 같은 방향 · 사용자 2026-09-15)
ELLINIA,TOWER,c581bd557cd2480b8fa7f415866efd2e,c581bd557cd2480b8fa7f415866efd2e,false,1.77,1.86,true,false,,그룹 리소스 Ellinia_Tower (2026-09-15 업로드 · 1086×1448)
ELLINIA,SUPPRESSOR,0784f6d949344f4e8cfdf5758229eeb8,0784f6d949344f4e8cfdf5758229eeb8,false,1.35,1.5,true,false,,그룹 리소스 Ellinia_Inhibitor (2026-09-15 업로드 · 1208×1302)
ELLINIA,CORE,6de3ebd17c5d458d914e46e90c05e9ee,6de3ebd17c5d458d914e46e90c05e9ee,false,1.65,1.78,true,false,,그룹 리소스 Ellinia_Nexus (2026-09-15 업로드 · 1122×1402)
KERNING,TOWER,72f6f0c427c14b01afbf86e67f00ca25,72f6f0c427c14b01afbf86e67f00ca25,false,1.125,1.2,true,true,,그룹 리소스 KerningCity_Tower (2026-09-09 업로드)
KERNING,SUPPRESSOR,2c9da21c5bc04e93a3b3dd33d3704c14,2c9da21c5bc04e93a3b3dd33d3704c14,false,1.64,1.2,true,true,,그룹 리소스 KerningCity_Inhibitor (2026-09-09 업로드) · GroundOffset 1.64 = 월드 y -1.56 (사용자 지정 2026-09-09) · FlipX true(포탑과 같은 방향 · 사용자 2026-09-15)
KERNING,CORE,ab1b1a7778244f94b16595316f1d2798,ab1b1a7778244f94b16595316f1d2798,false,1.44,1.55,true,true,,그룹 리소스 KerningCity_Nexus (2026-09-15 업로드 · 1230×1278) · FlipX true(포탑과 같은 방향 · 사용자 2026-09-15)
PERION,TOWER,3e9679c4b87f4acb8b92aaaa2ded97dd,3e9679c4b87f4acb8b92aaaa2ded97dd,false,1.125,1.2,true,false,,그룹 리소스 Perion_Tower (2026-09-09 업로드)
PERION,SUPPRESSOR,dcaedc41029e41578efe4c11bca49db5,dcaedc41029e41578efe4c11bca49db5,false,1.125,1.2,true,false,,그룹 리소스 Perion_Inhibitor (2026-09-09 업로드)
PERION,CORE,05ca7f975bf94f4aa7e9dd53502530e9,05ca7f975bf94f4aa7e9dd53502530e9,false,1.125,1.2,true,false,,그룹 리소스 Perion_Nexus (2026-09-09 업로드)
NAUTILUS,TOWER,2cb00b5489fb4aad86bccf022a605fc0,2cb00b5489fb4aad86bccf022a605fc0,false,1.36,1.16,true,false,,그룹 리소스 Nautilus_Tower (2026-09-15 업로드 · 1254×1254 · 그림이 아래쪽에 치우침)
NAUTILUS,SUPPRESSOR,0b55fd5e9ae94522b5dbbe1d9e6f8a2f,0b55fd5e9ae94522b5dbbe1d9e6f8a2f,false,1.31,1.37,true,false,,그룹 리소스 Nautilus_Inhibitor (2026-09-15 업로드 · 1254×1254)
NAUTILUS,CORE,8adca861d2d8489682616316a3a3f50f,dab6ddee82db4d34ab48608d6103f4f2,false,1.112,1.213,true,false,1.308,임시 gran_helisium 104×172 · Scale 1.308 → 높이 2.25 · 월드 RUID 를 UI 에 쓰면 LEA-3044 라 아이콘은 별도
