CatalogNpcId,RoleKey,DisplayName,UiGroupName,UiRoute,ActionRoute,OwnershipMode,SectorId,SlotOrder,Enabled,Hidden,#Note
VD_WORKSHOP_CRAFT,WORKSHOP_CRAFT,제작 장인,VillageWorkshopGroup,craft,craft,OWNER_ONLY,WORKSHOP,1,true,,장비 제작
VD_WORKSHOP_ENHANCE,WORKSHOP_ENHANCE,강화 장인,VillageWorkshopGroup,enhance,enhance,OWNER_ONLY,WORKSHOP,2,true,,장비 강화
VD_WORKSHOP_REPAIR,WORKSHOP_REPAIR,수리 장인,VillageWorkshopGroup,repair,repair,OWNER_ONLY,WORKSHOP,3,false,,내구도 수리 · 2026-09-08 비활성(사용자 지시) · 행은 남긴다
VD_SHOP_POTION,SHOP_POTION,물약 상인,VillageWorkshopGroup,potion,shop_potion,OWNER_ONLY,WORKSHOP,4,true,,지역 물약 상점
VD_SHOP_EQUIP,SHOP_EQUIP,지역 장비 상인,VillageWorkshopGroup,shop_equip,shop_equip_region,OWNER_ONLY,WORKSHOP,5,false,,지역 장비 상점 · 2026-09-08 비활성(사용자 지시 · 장비 구입은 제작 장인이 같은 CraftRecipe 표로 대체) · 행은 남긴다
VD_LIFE_STORAGE,LIFE_STORAGE,창고지기,VillageLifeGroup,storage,storage,OWNER_ONLY,LIFE,1,true,,마을 창고
VD_PRODUCTION_RECRUIT,PRODUCTION_RECRUIT,몬스터 모집관,VillageLifeGroup,recruit,recruit,OWNER_ONLY,LIFE,2,true,,몬스터 모집
VD_PRODUCTION_TRAIN,PRODUCTION_TRAIN,몬스터 조련사,VillageLifeGroup,train,train,OWNER_ONLY,LIFE,3,true,,몬스터 훈련
VD_RECORD_COLLECTION,RECORD_COLLECTION,도감 관리인,VillageRecordGroup,collection,collection,OWNER_ONLY,RECORD,1,true,,도감 확인
VD_RECORD_STATS,RECORD_STATS,통계 분석관,VillageRecordGroup,stats,stats,OWNER_ONLY,RECORD,2,true,,마을 통계
VD_DEFENSE_TOWER,DEFENSE_TOWER,방어 시설 관리인,VillageDefenseGroup,tower,tower,OWNER_ONLY,DEFENSE,1,true,,포탑 관리
VD_COMMON_MATCH_GUIDE,COMMON_MATCH_GUIDE,매치 안내원,LobbyGroup,matchguide,matchguide,PUBLIC,,,true,,공용 매치 안내
VD_COMMON_DISPATCH_OFFICER,COMMON_DISPATCH_OFFICER,파병 담당관,CommonNpcGroup,dispatch,dispatch,OWNER_ONLY,DEFENSE,2,true,,마을 파병 접수 · 2026-09-09 허브에서 마을로 이전(사용자 지시) · 방어 시설 관리인 옆
VD_COMMON_DIMENSION_GATE,COMMON_DIMENSION_GATE,차원 관문,CommonNpcGroup,dimensiongate,dimensiongate,PUBLIC,,,true,true,공용 차원 관문
VD_SHOP_EQUIP_NOVICE,SHOP_EQUIP,초보자 장비 상인,VillageWorkshopGroup,shop_equip,shop_equip_novice,PUBLIC,,,false,,리스항구 초보자 장비 상점 · 2026-09-08 비활성(사용자 지시 · 장비 구매 NPC 전체) · 행은 남긴다
