GemId,StatId,AddPerLevel,DisplayName,IconRUID,Enabled,#Note
DIAMOND,ATTACK,0,다이아몬드,,true,보석 12종은 계약서 §0-2 GemId 와 1:1 · 아이템은 ItemInfo GEM_{GemId} · IconRUID 는 S2 · AddPerLevel 은 ⑫ B안부터 미사용(0 유지 · 양은 EnhanceSlotBonus 의 스탯 열)
SAPPHIRE,MAGIC,0,사파이어,,true,
AMETHYST,SPEED,0,자수정,,true,
AQUAMARINE,JUMP,0,아쿠아마린,,true,
GARNET,ACCURACY,0,가넷,,true,
OPAL,AVOID,0,오팔,,true,
TOPAZ,MAX_HP,0,토파즈,,true,
EMERALD,MAX_MP,0,에메랄드,,true,
STR_CRYSTAL,STR,0,힘의 결정,,true,
DEX_CRYSTAL,DEX,0,민첩의 결정,,true,
LUK_CRYSTAL,LUK,0,행운의 결정,,true,
INT_CRYSTAL,INT,0,지력의 결정,,true,DEFENSE 는 보석이 아니라 ⑫ EnhanceSlotBonus.AddDefense 로만
