StepKey,Kind,Text,MarkerMap,Once,Enabled,#Note
G1,GOAL,리스항구 앞 사냥터에서 달팽이를 잡아 레벨을 올리세요 (Lv {n}/{max}),LithHarbor_Hunt_RightAroundLithHarbor,,true,완료 Lv4 (WO-028 · B10)
G2,GOAL,숲길(사냥터 2)로 이동해 사냥하세요 (Lv {n}/{max}),LithHarbor_Hunt_ForestTrail1,,true,완료 Lv7 (WO-028 · B10)
G3,GOAL,돼지 해변(사냥터 3)에서 레벨 10 을 만드세요 (Lv {n}/{max}),LithHarbor_Hunt_PigBeach,,true,완료 Lv10 (WO-028 · B10)
G4,GOAL,리스항구 마을로 돌아가 전직하세요 {n},LithHarbor_Village_MinimiMain,,true,{n} = 4:00 넘으면 남은 시간 카운트 · 완료 전직 (WO-028 · B10)
G5,GOAL,여섯갈래길로 나가 빈 마을의 넥서스를 클릭해 마을을 차지하세요,@EMPTY_VILLAGES,,true,빈 마을 전부 마커 · 완료 마을 점유 (WO-028 · B10)
G6,GOAL,마을 사냥터 1 에서 사냥하세요. 곧 첫 미니언 웨이브가 옵니다 (Lv {n}/{max}),@OWN_LANE1,,true,완료 첫 웨이브 예고 (WO-028 · B10)
G7,GOAL,웨이브! 사냥터 2 의 포탑 앞으로 가서 미니언을 막으세요,@OWN_LANE2,,true,끼어드는 단계 · 웨이브 30초 전 ~ 뒤 60초 · 3P 문구는 G7B (WO-028 · B10)
G7B,GOAL,웨이브! 포탑 앞에서 막고 만렙이면 발록으로,@OWN_LANE2,,true,3P 웨이브 문구 (WO-028 · B10)
G8,GOAL,몬스터 모집관에게 재료 8개로 수비대를 모집하세요 (재료 {n}/{max}),@OWN_VILLAGE,,true,첫 웨이브 뒤 · 모집 0회 (WO-028 · B10)
G9,GOAL,사냥터 2 로 올라가 사냥하세요 (Lv {n}/{max}),@OWN_LANE2,,true,Lv17~24 (WO-028 · B10)
G10,GOAL,미니언이 강해졌습니다 — 사냥터 2 몬스터로 수비대를 모집하고 포탑을 강화하세요,@OWN_VILLAGE,,true,2P 시작 2분 · 포탑 Lv2 면 완료 (WO-028 · B10)
G11,GOAL,사냥터 3 에서 만렙(30)까지 사냥하세요 (Lv {n}/{max}),@OWN_REAR,,true,Lv24~30 (WO-028 · B10)
G12,GOAL,매분 웨이브가 옵니다 — 웨이브 경험치로 만렙을 채우세요 (Lv {n}/{max}),@OWN_LANE2,,true,3P · Lv<30 (WO-028 · B10)
G13,GOAL,낙인의 영혼석을 모으세요 — 엘리트 1개 · 마을 보스 20개 ({n}/{max}),@OWN_BOSS,,true,Lv30 · 영혼석 < 5 (WO-028 · B10)
G14,GOAL,슬리피우드로 가서 주니어 발록에 도전하세요 (90초 · 입장권 5개),,,true,월드맵에 슬리피우드 노드가 꺼져 있어 마커 없음(Codex 리뷰) · Lv30 · 영혼석 ≥ 5 (WO-028 · B10)
T1,TOAST,보석을 얻었습니다 — 강화 장인에게 장비를 강화할 때 넣습니다. 안 쓰는 보석은 3:1 로 교환할 수 있어요,,true,true,첫 보석 (WO-028 · B10)
T2,TOAST,지역 재화 — 제작 장인의 장비 재료이자 지역 보스 입장권(25개)입니다,,true,true,첫 지역 재화 (WO-028 · B10)
T3,TOAST,몬스터 재료 — 8개면 몬스터 모집관에게 수비대 1묶음(5마리)을 모집할 수 있습니다,,true,true,첫 몬스터별 재화 (WO-028 · B10)
T4,TOAST,빅토리아 주화 — 방어 시설 관리인에게 포탑·억제기 강화와 재건에 씁니다,,true,true,첫 주화 (WO-028 · B10)
T5,TOAST,꿈의 조각 — 몬스터 조련사에게 수비대를 훈련시킵니다,,true,true,첫 꿈의 조각 (WO-028 · B10)
T6,TOAST,낙인의 영혼석 — 주니어 발록 입장권입니다 (★1 은 도전 1회에 5개),,true,true,첫 영혼석 (WO-028 · B10)
T7,TOAST,엘리트 몬스터 등장! 체력은 25배지만 주화·꿈의 조각·영혼석을 확정으로 줍니다,,false,true,내가 있는 맵 · 매번 (WO-028 · B10)
T8,TOAST,마노를 가장 먼저 잡는 사람은 체력 갑옷(+200)과 500메소를 받습니다,,true,true,0P Lv7 (WO-028 · B10)
