ItemId,Name,ItemType,EquipSlot,ReqLevel,ReqJob,IconRUID,BaseStr,BaseDex,BaseInt,BaseLuk,BaseAttack,BaseMagic,BaseDefense,BaseSpeed,BaseJump,BaseAccuracy,BaseAvoid,BaseMaxHp,BaseMaxMp,Mastery,MaxDurability,MaxEnhanceLevel,Stackable,MaxStack,SellMeso,Enabled,#Note
WEAPON_WOODEN_SWORD,나무 검,EQUIP,WEAPON,1,,,0,0,0,0,17,0,0,0,0,0,0,0,0,0.5,100,3,false,1,50,true,초보자 무기 · IconRUID 미주입(S2)
HAT_WHITE_BANDANA,하얀 두건,EQUIP,HAT,1,,,0,0,0,0,0,0,3,0,0,0,0,0,0,0,100,3,false,1,30,true,초보자 모자
TOP_WHITE_UNDERSHIRT,하얀 반팔티,EQUIP,TOP,1,,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,100,3,false,1,30,true,초보자 상의
BOTTOM_BLUE_JEAN_SHORTS,파란 청반바지,EQUIP,BOTTOM,1,,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,100,3,false,1,30,true,초보자 하의
SHOES_RED_RUBBER_BOOTS,빨간 고무장화,EQUIP,SHOES,1,,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,100,3,false,1,30,true,초보자 신발
GLOVES_LEATHER,가죽 장갑,EQUIP,GLOVES,1,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100,3,false,1,30,true,초보자 장갑
GEM_DIAMOND,다이아몬드,MATERIAL,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,999,100,true,강화 보석 · 공격력 (GemInfo 1:1)
GEM_SAPPHIRE,사파이어,MATERIAL,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,999,100,true,강화 보석 · 마력
GEM_AMETHYST,자수정,MATERIAL,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,999,100,true,강화 보석 · 이동속도
GEM_AQUAMARINE,아쿠아마린,MATERIAL,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,999,100,true,강화 보석 · 점프력
GEM_GARNET,가넷,MATERIAL,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,999,100,true,강화 보석 · 명중률
GEM_OPAL,오팔,MATERIAL,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,999,100,true,강화 보석 · 회피율
GEM_TOPAZ,토파즈,MATERIAL,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,999,100,true,강화 보석 · 최대 HP
GEM_EMERALD,에메랄드,MATERIAL,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,999,100,true,강화 보석 · 최대 MP
GEM_STR_CRYSTAL,힘의 결정,MATERIAL,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,999,100,true,강화 보석 · STR
GEM_DEX_CRYSTAL,민첩의 결정,MATERIAL,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,999,100,true,강화 보석 · DEX
GEM_LUK_CRYSTAL,행운의 결정,MATERIAL,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,999,100,true,강화 보석 · LUK
GEM_INT_CRYSTAL,지력의 결정,MATERIAL,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,999,100,true,강화 보석 · INT
