job_line,tier,required_level,display_name,base_attack,#Note
BEGINNER,0,1,초보자,75,"placeholder atk, uniform"
WARRIOR,1,10,전사 1차,75,"placeholder atk, uniform across jobs"
WARRIOR,2,20,전사 2차,75,"placeholder atk, uniform across jobs"
WARRIOR,3,30,전사 3차,75,"placeholder atk, uniform across jobs"
MAGE,1,10,마법사 1차,75,"placeholder atk, uniform across jobs"
MAGE,2,20,마법사 2차,75,"placeholder atk, uniform across jobs"
MAGE,3,30,마법사 3차,75,"placeholder atk, uniform across jobs"
ARCHER,1,10,궁수 1차,75,"placeholder atk, uniform across jobs"
ARCHER,2,20,궁수 2차,75,"placeholder atk, uniform across jobs"
ARCHER,3,30,궁수 3차,75,"placeholder atk, uniform across jobs"
THIEF,1,10,도적 1차,75,"placeholder atk, uniform across jobs"
THIEF,2,20,도적 2차,75,"placeholder atk, uniform across jobs"
THIEF,3,30,도적 3차,75,"placeholder atk, uniform across jobs"
PIRATE,1,10,해적 1차,75,"placeholder atk, uniform across jobs"
PIRATE,2,20,해적 2차,75,"placeholder atk, uniform across jobs"
PIRATE,3,30,해적 3차,75,"placeholder atk, uniform across jobs"
