VillageId,MapName,LaneRole,PathMinX,PathMaxX,PathY,SpawnX,SpawnY,EndTriggerX,TowerSlotX,TowerSlotY,RopeX,MinionSpeedMul,DefenderSlotCount,Enabled,#Note
HENESYS,Henesys_Hunt_GolemsTemple,LANE2,-4.68,14.82,-4.6,13.8,-4.6,-4.2,2.0,-4.6,7.84,1.0,10,true,2026-09-07 사용자 직접 깐 통로(층6 MapLayer7) 사다리 x -0.26/7.84
HENESYS,Henesys_Hunt_HillNorth,LANE1,-5.79,17.71,-6.22,,,-5.3,8.0,-6.22,9.81,1.0,10,true,2026-09-07 사용자 직접 깐 통로(층4 Default) 사다리 x -0.49/9.81
HENESYS,Henesys_Village_MinimiMain,VILLAGE,-9.6,9.4,-1.69,,,-9.0,-8.0,-1.69,2.09,1.0,10,true,2026-09-07 사용자 직접 깐 통로(층1 MapLayer1) 통로 포탈 (8.91 -1.64)
KERNING,KerningCity_Hunt_ConstructionSite,LANE2,-4.34,19.16,-3.2,18.2,-3.2,6.0,14.0,-3.2,9.71,1.0,10,true,2026-09-09 사용자 조정 통로 실측(CustomFoothold edgeLists 기준) · 포탑 구간(오른쪽)
KERNING,KerningCity_Hunt_ConstructionSite,LANE1,-4.34,19.16,-3.2,,,-4.0,4.0,-3.2,0.83,1.0,10,true,2026-09-09 사용자 조정 통로 실측(CustomFoothold edgeLists 기준) · 억제기 구간(왼쪽) · 같은 맵이라 재스폰 없이 계속 걷는다
KERNING,KerningCity_Village_MinimiMain,VILLAGE,-12.68,5.12,-2.0,,,-8.0,-8.5,-2.0,2.47,1.0,10,true,2026-09-09 사용자 조정 통로 실측(CustomFoothold edgeLists 기준) · 넥서스
PERION,Perion_Hunt_NorthernRidge,LANE2,-10.14,11.06,-23.26,10.1,-23.26,-9.8,2.0,-23.26,6.5,1.0,10,true,2026-09-09 사용자 조정 통로 실측(CustomFoothold edgeLists 기준) · 포탑
PERION,Perion_Hunt_WildBoarLand,LANE1,-12.24,15.76,-21.5,,,-11.9,-6.0,-21.5,10.0,1.0,10,true,2026-09-09 사용자 조정 통로 실측(CustomFoothold edgeLists 기준) · 억제기
PERION,Perion_Village_MinimiMain,VILLAGE,2.91,17.91,0.76,,,3.4,4.0,0.76,6.5,1.0,10,true,2026-09-09 사용자 조정 통로 실측(CustomFoothold edgeLists 기준) · 넥서스
ELLINIA,Ellinia_Hunt_TreeTrunkNest2,LANE2,-5.5,6.4,-8.0,5.4,-8.0,-5.1,-3.6,-8.0,2.2,1.0,10,true,2026-09-18 AI 배치(실측 · 커닝 방식) · 세로 나무맵 구덩이 아래 통로 · 사다리 x -1.3/2.2 · 포탑
ELLINIA,Ellinia_Hunt_GreenTreeTrunk,LANE1,-17.3,-1.6,-20.7,,,-16.9,-12.0,-20.7,-4.5,1.0,10,true,2026-09-18 AI 배치(실측) · 사다리 x -9.5/-4.5 · 억제기
ELLINIA,Ellinia_Village_MinimiMain,VILLAGE,-4.0,3.2,6.8,,,-3.8,-3.4,6.7,0.91,1.0,10,true,2026-09-18 새 발판 없이 기존 가지 다리(y 5.6~6.8 · 마을 높이 중앙 · 사용자 지시) · 넥서스 · RopeX = 기존 ladder-3
NAUTILUS,Nautilus_Hunt_WayToBeach,LANE2,-19.4,0.5,-3.5,-0.5,-3.5,-19.0,-12.5,-3.5,-6.5,1.0,10,true,2026-09-18 AI 배치(실측) · 사다리 x -15.0/-6.5 · 포탑
NAUTILUS,Nautilus_Hunt_PigPasture,LANE1,-15.8,5.3,-3.5,,,-15.4,-9.0,-3.5,-2.0,1.0,10,true,2026-09-18 AI 배치(실측) · x 0.84 벽 조각이 -3.3 까지 내려와 통로를 -3.5 로 · 사다리 x -11.0/-2.0 · 억제기
NAUTILUS,Nautilus_Village_MinimiMain,VILLAGE,19.3,50.0,-3.05,,,19.8,20.8,-3.05,36.47,1.0,10,true,2026-09-18 새 발판 없이 기존 물가 바닥 · 넥서스 = 노틸러스호 쪽 왼쪽 끝(사용자 지시) · RopeX = 기존 Rope_20
