Level,NeedExp,AddMaxHp,AddMaxMp,AP,SP,#Note
1,1,50,20,5,3,Lv1→2 에 필요한 exp. NeedExp 만 고치면 성장 곡선이 바뀐다
2,2,50,20,5,3,
3,3,50,20,5,3,
4,4,50,20,5,3,
5,5,50,20,5,3,
6,6,50,20,5,3,
7,7,50,20,5,3,
8,8,50,20,5,3,
9,9,50,20,5,3,
10,10,50,20,5,3,
11,11,50,20,5,3,
12,12,50,20,5,3,
13,13,50,20,5,3,
14,14,50,20,5,3,
15,15,50,20,5,3,
16,16,50,20,5,3,
17,17,50,20,5,3,
18,18,50,20,5,3,
19,19,50,20,5,3,
20,20,50,20,5,3,
21,21,50,20,5,3,
22,22,50,20,5,3,
23,23,50,20,5,3,
24,24,50,20,5,3,
25,25,50,20,5,3,
26,26,50,20,5,3,
27,27,50,20,5,3,
28,28,50,20,5,3,
29,29,50,20,5,3,
30,30,50,20,5,3,
31,31,50,20,5,3,
32,32,50,20,5,3,
33,33,50,20,5,3,
34,34,50,20,5,3,
35,35,50,20,5,3,
36,36,50,20,5,3,
37,37,50,20,5,3,
38,38,50,20,5,3,
39,39,50,20,5,3,
40,40,50,20,5,3,
41,41,50,20,5,3,
42,42,50,20,5,3,
43,43,50,20,5,3,
44,44,50,20,5,3,
45,45,50,20,5,3,
46,46,50,20,5,3,
47,47,50,20,5,3,
48,48,50,20,5,3,
49,49,50,20,5,3,
50,50,50,20,5,3,
