MapName,NpcId,X,Y,#Note
SixPathCrossway,1002105,-7.73,9.31,원본 npc-2799
SixPathCrossway,2159322,-6.57,4.19,원본 npc-4336
SixPathCrossway,1040000,-4.99,-3.88,원본 npc-5935
SixPathCrossway,1082200,-3.54,6.35,원본 npc-2000
SixPathCrossway,1106009,-1.23,3.33,원본 npc-1295
SixPathCrossway,1520063,3.86,2.21,원본 npc-372
KerningCity_Boss_KingSlime,9020001,4.71,4.39,원본 npc-4855
KerningCity_Boss_KingSlime,9020002,-5.68,4.43,원본 npc-1820
KerningCity_Hunt_ConstructionSite,1043002,17.06,0.03,원본 npc-6072
KerningCity_Hunt_SewerApproach,1531049,1.82,3.81,원본 npc-2748
Henesys_Hunt_BlueMushroomTrail,1012128,-32.14,14.72,원본 npc-1269
Henesys_Hunt_HillNorth,1012115,5.12,1.23,원본 npc-4702
Henesys_Hunt_HillNorth,1012116,4.73,-2.98,원본 npc-3209_3
Henesys_Hunt_HillNorth,1012116,6.65,-4.42,원본 npc-3209_2
Henesys_Hunt_HillNorth,1012116,-4.45,-4.44,원본 npc-3209_1
Henesys_Hunt_HillNorth,1012116,-1.46,0.04,원본 npc-3209
Henesys_Hunt_HillNorth,1012125,10.8,-2.42,원본 npc-1408
KerningCity_Village_MinimiMain,1052017,-8.64,-0.59,원본 npc-7487
KerningCity_Village_MinimiMain,1052103,-5.21,1.51,원본 npc-7443
KerningCity_Village_MinimiMain,1052106,-5.03,3.4,원본 npc-7278
KerningCity_Village_MinimiMain,1052002,2.56,-0.57,원본 npc-6991
KerningCity_Village_MinimiMain,1052000,3.11,3.87,원본 npc-6968
KerningCity_Village_MinimiMain,9000123,-6.16,3.23,원본 npc-5875
KerningCity_Village_MinimiMain,9000041,-8.08,6.49,원본 npc-5065
KerningCity_Village_MinimiMain,1520005,-3.34,1.57,원본 npc-481
KerningCity_Village_MinimiMain,9010000,-15.93,0.57,원본 npc-4405
KerningCity_Village_MinimiMain,9000040,-7.07,6.49,원본 npc-4053
KerningCity_Village_MinimiMain,9010010,-17.68,-0.62,원본 npc-3937
KerningCity_Village_MinimiMain,1012000,13.97,3.03,원본 npc-3539
KerningCity_Village_MinimiMain,9062010,-12.26,2.07,원본 npc-3466
KerningCity_Village_MinimiMain,1103002,-9.41,1.46,원본 npc-3173
KerningCity_Village_MinimiMain,9020000,10.34,-0.6,원본 npc-2569
KerningCity_Village_MinimiMain,9010109,-13.11,-0.6,원본 npc-2172
KerningCity_Village_MinimiMain,9000008,-11.97,-0.35,원본 npc-1746
KerningCity_Village_MinimiMain,9000124,-4.44,3.35,원본 npc-1674
KerningCity_Village_MinimiMain,9010106,-14.37,-0.58,원본 npc-1272
KerningCity_Village_MinimiMain,9000397,-4.65,-0.6,원본 npc-1135
KerningCity_Village_SubwayEntrance,1052006,0.37,-1.85,원본 npc-7063
KerningCity_Village_SubwayEntrance,1052007,3.55,-1.87,원본 npc-6959
KerningCity_Village_SubwayEntrance,1043002,-1.15,0.21,원본 npc-6072
Henesys_Boss_Mushmom,1012130,-6.27,3.59,원본 npc-5044
Nautilus_Village_MinimiMain,9000041,32.03,0.62,원본 npc-5065
Nautilus_Village_MinimiMain,1095003,20.65,1.34,원본 npc-4345
Nautilus_Village_MinimiMain,9000040,32.65,0.69,원본 npc-4053
Nautilus_Village_MinimiMain,1094000,45.01,3.94,원본 npc-3700
Nautilus_Village_MinimiMain,1096006,20.67,2.68,원본 npc-3530
Nautilus_Village_MinimiMain,9072100,44.55,-1.32,원본 npc-2301
Nautilus_Village_MinimiShip,9000123,8.47,0.44,원본 npc-5875
Nautilus_Village_MinimiShip,9010022,-4.56,6.31,원본 npc-5862
Nautilus_Village_MinimiShip,1091000,-8.32,0.37,원본 npc-5611
Nautilus_Village_MinimiShip,1091004,-2.91,0.35,원본 npc-5196
Nautilus_Village_MinimiShip,1092009,-12.87,0.33,원본 npc-4877
