Phase,StartSeconds,SpawnIntervalSeconds,HpMul,AtkMul,ExpBase,MesoBase,Enabled,Profile,CoinDropChance,#Note
PHASE0-1,0,0,1.0,1.0,0,0,true,TEST,0,LIVE÷8 · 0페이즈 개척 - 미니언 없음
PHASE0-2,30,0,1.0,1.0,0,0,true,TEST,0,LIVE÷8 · 0.5페이즈 전직 유예 - 미니언 없음
PHASE1,34,15,1.0,0.8,20,10,true,TEST,0.25,LIVE÷8(33.75 반올림) · 1페이즈 집중 성장
PHASE2,90,15,1.3,1.6,30,15,true,TEST,0.3,LIVE÷8 · 2페이즈 견제 - 공격력 상승
PHASE3,150,15,2.0,2.2,40,20,true,TEST,0.4,LIVE÷8 · 3페이즈 최종 - 시설 풀데미지 개방
PHASE0-1,0,0,1.0,1.0,0,0,true,LIVE,0,0페이즈 리스항구 개척 - 미니언 없음 · 목표 9레벨
PHASE0-2,240,0,1.0,1.0,0,0,true,LIVE,0,0.5페이즈 전직 유예 30초 - 미니언 없음
PHASE1,270,120,1.0,0.8,20,10,true,LIVE,0.25,1페이즈 집중 성장 - 2분 간격 4회(450초) · 목표 19레벨
PHASE2,720,120,1.3,1.6,30,15,true,LIVE,0.3,2페이즈 견제 - 2분 간격 4회(480초) · 목표 29레벨
PHASE3,1200,120,2.0,2.2,40,20,true,LIVE,0.4,3페이즈 최종 - 2분 간격 5회(600초) · 만료 1800 은 MatchConfig
