Profile,WaveKey,Phase,StartSeconds,Count,SpawnGapSeconds,MonsterId,Hp,Attack,Exp,Meso,ZombieCount,Enabled,#Note
LIVE,P1-0,PHASE1,450,8,1,2230101,1000,300,27,60,0,true,1P 첫 웨이브(7:30) · 전원 토스트 · 플레이어 Lv12 기준 · Exp = 같은 시기 일반몹(레벨 보간) · 메소 = B2 구간값
LIVE,P1-1,PHASE1,660,8,1,2230101,1200,330,33,100,0,true,11:00
LIVE,P1-2,PHASE1,870,8,1,2230101,1400,360,43,180,0,true,14:30 · Lv1 포탑이 여기서 파괴되는 것이 목표
LIVE,P2-1,PHASE2,1020,8,1,2230101,3200,630,52,180,0,true,17:00 · HP ×2.3 점프
LIVE,P2-2,PHASE2,1200,8,1,2230101,3800,690,70,450,0,true,20:00
LIVE,P2-3,PHASE2,1380,8,1,2230101,4400,750,84,450,0,true,23:00 · ★1 의 3P 는 이 행 고정(B6)
LIVE,P3-1,PHASE3,1500,8,1,2230101,5000,3700,97,450,1,true,25:00 · 공격 ×5 점프 · 매분 · 좀비 1
LIVE,P3-2,PHASE3,1560,8,1,2230101,5250,3885,97,450,1,true,+5%
LIVE,P3-3,PHASE3,1620,8,1,2230101,5513,4079,97,450,2,true,좀비 2(2분마다 +1)
LIVE,P3-4,PHASE3,1680,8,1,2230101,5788,4283,97,450,2,true,
LIVE,P3-5,PHASE3,1740,8,1,2230101,6078,4497,97,450,3,true,마지막 행 · 이후 같은 간격(60초)으로 이 행 반복
LIVE,P3-ZOMBIE,PHASE3,-1,0,1,2400572,30000,5000,970,4500,0,true,좀비머쉬맘 개체 템플릿(스케줄 없음 · StartSeconds -1 · Count 0). ZombieCount 만큼 이 스탯으로 추가 스폰 · Exp/메소 = 엘리트급(Lv30 ×10)
TEST,P1-0,PHASE1,56,8,0.125,2230101,1000,300,27,60,0,true,LIVE÷8 · 1P 첫 웨이브(7:30) · 전원 토스트 · 플레이어 Lv12 기준 · Exp = 같은 시기 일반몹(레벨 보간) · 메소 = B2 구간값
TEST,P1-1,PHASE1,82,8,0.125,2230101,1200,330,33,100,0,true,LIVE÷8
TEST,P1-2,PHASE1,109,8,0.125,2230101,1400,360,43,180,0,true,LIVE÷8
TEST,P2-1,PHASE2,128,8,0.125,2230101,3200,630,52,180,0,true,LIVE÷8
TEST,P2-2,PHASE2,150,8,0.125,2230101,3800,690,70,450,0,true,LIVE÷8
TEST,P2-3,PHASE2,172,8,0.125,2230101,4400,750,84,450,0,true,LIVE÷8
TEST,P3-1,PHASE3,188,8,0.125,2230101,5000,3700,97,450,1,true,LIVE÷8 · 25:00 · 공격 ×5 점프 · 매분 · 좀비 1
TEST,P3-2,PHASE3,195,8,0.125,2230101,5250,3885,97,450,1,true,LIVE÷8
TEST,P3-3,PHASE3,202,8,0.125,2230101,5513,4079,97,450,2,true,LIVE÷8
TEST,P3-4,PHASE3,210,8,0.125,2230101,5788,4283,97,450,2,true,LIVE÷8
TEST,P3-5,PHASE3,218,8,0.125,2230101,6078,4497,97,450,3,true,LIVE÷8 · 마지막 행 · 이후 같은 간격(60초)으로 이 행 반복
TEST,P3-ZOMBIE,PHASE3,-1,0,0.125,2400572,30000,5000,970,4500,0,true,LIVE 와 동일
