Id,Name,Level,MaxHp,Exp,CoinMin,CoinMax,ModelId,MoveType,AiType,MoveSpeed,JumpForce,IconRUID
100000,달팽이 (Snail),1,15,1,1,1,monster100000,walk,chase,,,2db94405cf0445f5be2b60a02c21dda5
100101,파란 달팽이 (Blue Snail),1,20,1,1,1,monster100101,walk,chase,,,0c69164656d24f64bd1a1f6ee4019dff
120100,스포아 (Shroom),3,25,1,1,1,monster120100,walk,chase,,,f84d50d06d1c45308d8497e8bf226308
130100,스텀프 (Stump),17,375,1,1,1,monster130100,walk,chase,,,cf2a470436cd4b2aa265648e15198c45
130101,빨간 달팽이 (Red Snail),4,50,1,1,1,monster130101,walk,chase,,,ffb9e9fba641457c818e9bf9d724461a
210100,슬라임 (Slime),17,80,1,1,1,monster210100,hop,chase,0.65,0.81,50faf654ee5d479cb2958edce9feaef0
1110100,초록버섯 (Green Mushroom),10,125,1,1,1,monster1110100,walk,chase,,,d19573d7348643e19146f82ca34c1fa3
1110101,다크 스텀프 (Dark Stump),20,375,1,1,1,monster1110101,walk,chase,,,ed3908e24d694bb786023fc1ed073489
1120100,옥토퍼스 (Octopus),10,125,1,1,1,monster1120100,walk,chase,,,d8f014043ce8418f96700c2b6c9ebf6c
1130100,엑스텀프 (Axe Stump),21,405,1,1,1,monster1130100,walk,chase,,,9d4f9e8f572548f692438ffa817eb52d
1140100,고스텀프 (Ghost Stump),23,465,1,1,1,monster1140100,walk,chase,,,52fc9a75b6174bfa96af66c49dbb3369
1140130,히죽대는 고스텀프 (Smirking Ghost Stump),24,495,1,1,1,monster1140130,walk,chase,,,4286356e1f6a4c03a6ef125123a49bbe
1210100,돼지 (Pig),10,80,1,1,1,monster1210100,hop,chase,0.65,0.81,528a8638b12f41b8b5781a05360d2949
1210101,리본 돼지 (Ribbon Pig),17,125,1,1,1,monster1210101,hop,chase,0.65,0.81,6a699b8c31b94474bb795c7394c3af3b
1210102,주황버섯 (Orange Mushroom),10,125,1,1,1,monster1210102,hop,chase,0.65,0.81,a95cfed2c8fe4d2cb64cbb62db051f92
1210103,버블링 (Bubbling),10,125,1,1,1,monster1210103,hop,chase,0.65,0.81,e24531def0ec4687b2c5de2cfb32b02e
1210104,파란 리본돼지 (Blue Ribbon Pig),24,200,1,1,1,monster1210104,walk,chase,,,cba2695db0034210a59cd88b5894457b
2110200,뿔버섯 (Horny Mushroom),12,175,1,1,1,monster2110200,walk,chase,,,574596d79f004965a293d2551343633f
