TrainClass,Level,DreamPieceCost,StatMul,Enabled,#Note
MELEE,1,0,1,true,기본
MELEE,2,3,1.5,true,기획 정리 §2-3 · 꿈의 조각 3개로 Lv2
MELEE,3,5,2.2,true,기획 정리 §2-3 · 꿈의 조각 5개로 Lv3
MELEE,4,10,3.3,true,기획 정리 §2-3 · 꿈의 조각 10개로 Lv4
MELEE,5,15,5,true,기획 정리 §2-3 · 꿈의 조각 15개로 Lv5
RANGED,1,0,1,true,기본
RANGED,2,3,1.5,true,기획 정리 §2-3 · 꿈의 조각 3개로 Lv2
RANGED,3,5,2.2,true,기획 정리 §2-3 · 꿈의 조각 5개로 Lv3
RANGED,4,10,3.3,true,기획 정리 §2-3 · 꿈의 조각 10개로 Lv4
RANGED,5,15,5,true,기획 정리 §2-3 · 꿈의 조각 15개로 Lv5
TANK,1,0,1,true,기본
TANK,2,3,1.5,true,기획 정리 §2-3 · 꿈의 조각 3개로 Lv2
TANK,3,5,2.2,true,기획 정리 §2-3 · 꿈의 조각 5개로 Lv3
TANK,4,10,3.3,true,기획 정리 §2-3 · 꿈의 조각 10개로 Lv4
TANK,5,15,5,true,기획 정리 §2-3 · 꿈의 조각 15개로 Lv5
