Id,Name,ModelId
1040000,Luke,staticnpc
1520063,Sugar,staticnpc
1106009,Irena,staticnpc
2159322,Mercedes,staticnpc
1082200,Pilot Irvin,staticnpc
1002105,Interdimensional Portal,staticnpc
9020001,Cloto,staticnpc
9020002,Nella,staticnpc
1043002,Empty Wall,staticnpc
1531049,Blonde Lady,staticnpc
1012128,Wanted: Blue Mushroom,staticnpc
1012115,Henesys Forest,staticnpc
1012116,Henesys Forest,staticnpc
1012125,Wanted: Orange Mushroom,staticnpc
1052017,Mr. Hong,staticnpc
1052103,Nella,staticnpc
1052106,Icarus,staticnpc
1052002,JM From tha Streetz,staticnpc
1052000,Alex,staticnpc
9000123,Big Headward,staticnpc
9000041,Donation Box,staticnpc
1520005,Olive,staticnpc
9010000,Maple Administrator,staticnpc
9000040,Dalair,staticnpc
9010010,Cassandra,staticnpc
1012000,Regular Cab in Victoria,staticnpc
9062010,Mr. Newname,staticnpc
1103002,Matthias,staticnpc
9020000,Lakelis,staticnpc
9010109,Squire Pancho Sanza,staticnpc
9000008,Mr. Pickall,staticnpc
9000124,Plastic Roy,staticnpc
9010106,Dame Appropriation,staticnpc
9000397,Kibbles,staticnpc
1052006,Jake,staticnpc
1052007,The Ticket Gate,staticnpc
1012130,Wanted: Mushmom,staticnpc
1095003,Valerie,staticnpc
1094000,Bart,staticnpc
1096006,Cutter,staticnpc
9072100,Neville,staticnpc
9010022,Dimensional Mirror,staticnpc
1091000,Morgan,staticnpc
1091004,Dondlass,staticnpc
1092009,Mrs. Reade,staticnpc
9000202,Spark,staticnpc
1091001,Rodos,staticnpc
1092010,Jack,staticnpc
1092007,Muirhat,staticnpc
9001119,Spring Bunny Salesman,staticnpc
9010040,Conor,staticnpc
1092002,Baine,staticnpc
1091002,Gali,staticnpc
9001117,Mommy Spring Bunny,staticnpc
9000188,Valerio,staticnpc
1092003,Sharyl,staticnpc
1092001,Bonnie,staticnpc
9071003,Monster Park Shuttle,staticnpc
9000201,Gale,staticnpc
9001116,Lady Spring Bunny,staticnpc
9000089,Taxi,staticnpc
9000088,Maple Admin,staticnpc
9000086,Maple Admin,staticnpc
9000087,Maple Admin,staticnpc
9201594,Nana K,staticnpc
1033220,Fountainhead Pillar,staticnpc
1022107,Perion Warning Post,staticnpc
1063011,Cave Wall of Evil Eye,staticnpc
1092004,Calico,staticnpc
