RouteId,FromMap,FromPortal,ToMap,ToPortal,Enabled,#Note
K01A,KerningCity_Boss_KingSlime,P_To_KerningCity_Hunt_SewerApproach,KerningCity_Hunt_SewerApproach,P_To_KerningCity_Boss_KingSlime,true,Kerning boss route
K01B,KerningCity_Hunt_SewerApproach,P_To_KerningCity_Boss_KingSlime,KerningCity_Boss_KingSlime,P_To_KerningCity_Hunt_SewerApproach,true,Kerning boss route
K02A,KerningCity_Hunt_SewerApproach,P_To_KerningCity_Village_MinimiMain,KerningCity_Village_MinimiMain,P_To_KerningCity_Hunt_SewerApproach,true,Kerning village west
K02B,KerningCity_Village_MinimiMain,P_To_KerningCity_Hunt_SewerApproach,KerningCity_Hunt_SewerApproach,P_To_KerningCity_Village_MinimiMain,true,Kerning village west
K03A,KerningCity_Village_MinimiMain,P_To_KerningCity_Hunt_ConstructionSite,KerningCity_Hunt_ConstructionSite,P_To_KerningCity_Village_MinimiMain,true,Kerning village east
K03B,KerningCity_Hunt_ConstructionSite,P_To_KerningCity_Village_MinimiMain,KerningCity_Village_MinimiMain,P_To_KerningCity_Hunt_ConstructionSite,true,Kerning village east
K04A,KerningCity_Hunt_ConstructionSite,P_To_KerningCity_Village_SubwayEntrance,KerningCity_Village_SubwayEntrance,P_To_KerningCity_Hunt_ConstructionSite,true,Kerning subway approach
K04B,KerningCity_Village_SubwayEntrance,P_To_KerningCity_Hunt_ConstructionSite,KerningCity_Hunt_ConstructionSite,P_To_KerningCity_Village_SubwayEntrance,true,Kerning subway approach
K05A,KerningCity_Village_SubwayEntrance,P_To_KerningCity_Hunt_SubwayLine1,KerningCity_Hunt_SubwayLine1,P_To_KerningCity_Village_SubwayEntrance,true,Kerning subway line
K05B,KerningCity_Hunt_SubwayLine1,P_To_KerningCity_Village_SubwayEntrance,KerningCity_Village_SubwayEntrance,P_To_KerningCity_Hunt_SubwayLine1,true,Kerning subway line
K06A,KerningCity_Hunt_SubwayLine1,P_To_SixPathCrossway,SixPathCrossway,P_To_KerningCity_Hunt_SubwayLine1,true,Kerning to SixPath
