Rank,Difficulty,Hearts,AccountExp,Condition,Enabled,#Note
1,1,2,60,,true,★1 1위 · 심장 2×★ · 계정 경험치 ★3 120 × 0.5 (9/14 표 · WO-027 §8 · B8)
2,1,1,50,,true,★1 2위 · 심장 1×★ · 계정 경험치 ★3 100 × 0.5 (9/14 표 · WO-027 §8 · B8)
3,1,1,40,,true,★1 3위 · 심장 0.5×★ 반올림 · 계정 경험치 ★3 80 × 0.5 (9/14 표 · WO-027 §8 · B8)
4,1,1,30,BALROG_HP_HALF,true,★1 4위 · 심장 0.5×★ 반올림 · 발록 HP 절반 이하일 때만 · 계정 경험치 ★3 60 × 0.5 (9/14 표 · WO-027 §8 · B8)
5,1,1,25,BALROG_HP_HALF,true,★1 5위 이하 · 심장 0.5×★ 반올림 · 발록 HP 절반 이하일 때만 · 계정 경험치 ★3 50 × 0.5 · 탈락자는 이 행 (9/14 표 · WO-027 §8 · B8)
1,3,6,120,,true,★3 1위 · 심장 2×★ · 계정 경험치 ★3 120 × 1 (9/14 표 · WO-027 §8 · B8)
2,3,3,100,,true,★3 2위 · 심장 1×★ · 계정 경험치 ★3 100 × 1 (9/14 표 · WO-027 §8 · B8)
3,3,2,80,,true,★3 3위 · 심장 0.5×★ 반올림 · 계정 경험치 ★3 80 × 1 (9/14 표 · WO-027 §8 · B8)
4,3,2,60,BALROG_HP_HALF,true,★3 4위 · 심장 0.5×★ 반올림 · 발록 HP 절반 이하일 때만 · 계정 경험치 ★3 60 × 1 (9/14 표 · WO-027 §8 · B8)
5,3,2,50,BALROG_HP_HALF,true,★3 5위 이하 · 심장 0.5×★ 반올림 · 발록 HP 절반 이하일 때만 · 계정 경험치 ★3 50 × 1 · 탈락자는 이 행 (9/14 표 · WO-027 §8 · B8)
1,5,10,240,,true,★5 1위 · 심장 2×★ · 계정 경험치 ★3 120 × 2 (9/14 표 · WO-027 §8 · B8)
2,5,5,200,,true,★5 2위 · 심장 1×★ · 계정 경험치 ★3 100 × 2 (9/14 표 · WO-027 §8 · B8)
3,5,3,160,,true,★5 3위 · 심장 0.5×★ 반올림 · 계정 경험치 ★3 80 × 2 (9/14 표 · WO-027 §8 · B8)
4,5,3,120,BALROG_HP_HALF,true,★5 4위 · 심장 0.5×★ 반올림 · 발록 HP 절반 이하일 때만 · 계정 경험치 ★3 60 × 2 (9/14 표 · WO-027 §8 · B8)
5,5,3,100,BALROG_HP_HALF,true,★5 5위 이하 · 심장 0.5×★ 반올림 · 발록 HP 절반 이하일 때만 · 계정 경험치 ★3 50 × 2 · 탈락자는 이 행 (9/14 표 · WO-027 §8 · B8)
