skill_id,tab,slot_order,skill_name,icon_ruid,description,max_level,sp_cost,effect_per_level,cooldown,required_job_line,required_tier,required_level,behavior,mp_cost,base_effect,range,speed,duration,hit_count,use_limit,effect_unit,max_stack,secondary_effect,secondary_per_level,duration_per_level,cooldown_per_level,buff_tag,spawn_offset_y,#Note
sk_w11,1,1,파워 스트라이크,,단일 대상에게 강한 일격을 날린다.,5,1,37.5,3,WARRIOR,1,10,melee_arc,10,150,2,0,0,1,0,ATK_PCT,0,0,0,0,0,,0,TENTATIVE: cooldown/mp_cost not in GDD
sk_w12,1,2,아이언 바디,,피격 시 자신의 최대 HP에 비례한 반사 데미지를 준다.,5,1,5,0,WARRIOR,1,10,passive,0,5,0,0,0,0,0,HP_PCT,0,0,0,0,0,reflect_hp_pct,0,reflect handled in OnHit (my domain)
sk_w21,2,3,하이퍼 바디,,최대 HP가 증가하고 받는 피해가 감소한다.,5,1,10,60,WARRIOR,2,20,buff_self,20,20,0,0,45,0,0,HP_PCT,0,20,5,0,0,hyper_body,0,secondary = damage reduction %. max HP owned by stat system - emit value only
sk_w22,2,4,도발,,주변 몬스터를 한곳에 모은다.,5,1,0.5,20,WARRIOR,2,20,taunt,15,3,3,0,0,0,0,FLAT,0,0,0,0,0,,0,TENTATIVE: cooldown/mp not in GDD. base_effect=radius. monster AI not my domain - emit event only
sk_w31,3,5,불굴의 진,,8초간 모든 영향을 받지 않는다.,1,1,0,0,WARRIOR,3,30,origin,0,8,0,0,8,0,1,SEC,0,0,0,0,0,invulnerable,0,"GDD says 'special currency required' - no such currency exists, replaced with use_limit=1"
sk_m11,1,1,에너지볼트,,지정한 위치에 광역 마법 공격을 가한다.,5,1,20,0,MAGE,1,10,projectile,8,140,3,6,0,1,0,ATK_PCT,0,0,0,0,0,,0.5,GDD '지정 위치 광역' line superseded - behavior is projectile (real travelling bolt)
sk_m12,1,2,연성,,장비 강화 비용이 감소한다.,5,1,5,0,MAGE,1,10,passive,0,30,0,0,0,0,0,RATIO,0,0,0,0,0,cost_reduce_upgrade,0,upgrade system not my domain - emit value only
sk_m21,2,3,텔레포트 강화,,"텔레포트 쿨타임이 절반이 되고 이동 거리가 증가하며, 도착 지점 주변에 광역 피해를 준다.",5,1,25,2,MAGE,2,20,blink,12,100,4,0,0,0,0,ATK_PCT,0,0,0,0,-0.25,,0,"TENTATIVE: arrival-AoE damage not in GDD, placeholder 100->200%"
sk_m22,2,4,매직 가드,,받는 피해의 일부를 MP가 대신 받는다. 공격 시 현재 MP의 5%만큼 추가 마법 피해를 준다.,5,1,10,60,MAGE,2,20,buff_self,20,35,0,0,45,0,0,RATIO,0,5,0,0,0,magic_guard,0,secondary = bonus dmg as % of current MP. skill MP cost +50% while active - handled in caster
sk_m31,3,5,대마법,,단일 대상에게 초고피해를 입힌다.,1,1,0,0,MAGE,3,30,origin,60,6000,0,0,0,1,1,ATK_PCT,0,0,0,0,0,,0,6000% x atk 75 = 4500 = exactly Balrog HP
sk_m13,1,6,텔레포트,,초보자 스킬의 더블 점프가 텔레포트로 바뀐다.,5,1,0,2,MAGE,1,10,blink,5,0,3,0,0,0,0,FLAT,0,0,0,0,0,,0,GDD '특이사항' row. replaces beginner double jump
sk_a11,1,1,더블 샷,,원거리에서 화살 2발을 연속으로 발사한다.,5,1,10,0,ARCHER,1,10,projectile,6,60,6,12,0,2,0,ATK_PCT,0,0,0,0,0,,0.5,TENTATIVE: speed/mp not in GDD
sk_a12,1,2,포커스,,보스 리젠 시각이 표시되고 특수 재화 드랍율이 증가한다.,5,1,5,0,ARCHER,1,10,passive,0,10,0,0,0,0,0,RATIO,0,0,0,0,0,drop_rate_dream_shard,0,TENTATIVE: GDD says '특수재화' but there are 3. If this targets 낙인의 영혼석 the ch.6 archer penalty is cancelled - ask planner
sk_a21,2,3,스나이핑,,1초의 선딜 후 단일 대상에게 초고피해를 입힌다.,5,1,50,8,ARCHER,2,20,projectile,18,300,10,20,0,1,0,ATK_PCT,0,0,0,0,0,,0.5,TENTATIVE: cooldown/mp not in GDD. 1s cast delay handled in executor
sk_a22,2,4,닷지,,"맵에서 가장 안전한 구역으로 이동하고, 일정 시간 동안 모든 공격이 반드시 크리티컬로 명중한다.",5,1,1,30,ARCHER,2,20,blink,15,6,0,0,6,0,0,SEC,0,0,0,1,0,guaranteed_crit,0,blink target = character spawn location
sk_a31,3,5,폭풍의 화살,,직선상의 모든 적을 관통하며 초고피해를 입힌다.,1,1,0,0,ARCHER,3,30,origin,55,4000,15,0,0,1,1,ATK_PCT,0,0,0,0,0,,0,4000% x 75 = 3000
sk_t11,1,1,럭키 세븐,,표창 2개를 던진다.,5,1,10,0,THIEF,1,10,projectile,6,80,5,14,0,2,0,ATK_PCT,0,0,0,0,0,,0.5,TENTATIVE: speed/mp not in GDD
sk_t12,1,2,픽파켓,,몬스터를 한 번 때릴 때마다 메소가 즉시 드랍된다. 기존 드랍에는 영향이 없다.,5,1,0.25,0,THIEF,1,10,passive,0,1,0,0,0,0,0,FLAT,0,0,0,0,0,stack_gain,0,"feeds the stack counter consumed by sk_t31. 1 meso at lv1, 2 at lv5"
sk_t21,2,3,다크 사이트,,10초간 은신하여 공격 한 번을 반드시 회피한다. 회피하면 해제된다.,5,1,0,50,THIEF,2,20,buff_self,15,10,0,0,10,0,0,SEC,0,0,0,0,-5,dark_sight,0,cooldown shrinks 50->30s as level rises
sk_t22,2,4,쉐도우 파트너,,분신을 소환하여 화력이 2배가 된다.,5,1,0,120,THIEF,2,20,buff_self,25,100,0,0,60,0,0,RATIO,0,0,0,0,-15,shadow_partner,0,"TENTATIVE: GDD says unlock 30, set to 20 - every other class D slot is 20"
