SkillId,Tab,SlotOrder,SkillName,IconRUID,Description,MaxLevel,SpCost,EffectPerLevel,Cooldown,ReqJob,ReqTier,ReqLevel,Behavior,MpCost,BaseEffect,Range,Speed,Duration,HitCount,UseLimit,EffectUnit,MaxStack,SecondaryEffect,SecondaryPerLevel,DurationPerLevel,CooldownPerLevel,BuffTag,SpawnOffsetY,#Note
SK_W11,1,1,파워 스트라이크,,단일 대상에게 강한 일격을 날린다.,5,1,37.5,3,WARRIOR,1,10,MELEE_ARC,10,150,2,0,0,1,0,ATK_PCT,0,0,0,0,0,,0,TENTATIVE: cooldown/mp_cost not in GDD
SK_W12,1,2,아이언 바디,,피격 시 자신의 최대 HP에 비례한 반사 데미지를 준다.,5,1,5,0,WARRIOR,1,10,PASSIVE,0,5,0,0,0,0,0,HP_PCT,0,0,0,0,0,REFLECT_HP_PCT,0,reflect handled in OnHit (my domain)
SK_W21,2,3,하이퍼 바디,,최대 HP가 증가하고 받는 피해가 감소한다.,5,1,10,60,WARRIOR,2,20,BUFF_SELF,20,20,0,0,45,0,0,HP_PCT,0,20,5,0,0,HYPER_BODY,0,secondary = damage reduction %. max HP owned by stat system - emit value only
SK_W22,2,4,도발,,주변 몬스터를 한곳에 모은다.,5,1,0.5,20,WARRIOR,2,20,TAUNT,15,3,3,0,0,0,0,FLAT,0,0,0,0,0,,0,TENTATIVE: cooldown/mp not in GDD. base_effect=radius. monster AI not my domain - emit event only
SK_W31,3,5,불굴의 진,,8초간 모든 영향을 받지 않는다.,1,1,0,0,WARRIOR,3,30,ORIGIN,0,8,0,0,8,0,1,SEC,0,0,0,0,0,INVULNERABLE,0,"GDD says 'special currency required' - no such currency exists, replaced with use_limit=1"
SK_M11,1,1,에너지볼트,,지정한 위치에 광역 마법 공격을 가한다.,5,1,20,1.5,MAGICIAN,1,10,PROJECTILE,8,140,3,8,0,1,0,ATK_PCT,0,0,0,0,0,,0.5,원작화 2026-09-09: 앞쪽 Range 안 최근접 적에게 유도 발사(SkillAttack.AimProjectileAtTarget · SkillProjectile.SetTarget) · 없으면 직선 · Speed 6→8
SK_M12,1,2,연성,,장비 강화 비용이 감소한다.,5,1,5,0,MAGICIAN,1,10,PASSIVE,0,30,0,0,0,0,0,RATIO,0,0,0,0,0,COST_REDUCE_UPGRADE,0,upgrade system not my domain - emit value only
SK_M21,2,3,텔레포트 강화,,"텔레포트 쿨타임이 절반이 되고 이동 거리가 증가하며, 도착 지점 주변에 광역 피해를 준다.",5,1,25,2,MAGICIAN,2,20,BLINK,12,100,3.25,0,0,1,0,ATK_PCT,0,0,0,0,-0.25,,0,추가기획1 C: Shift 공용 키 — 배우면 SK_M13 대신 시전(SkillHotbar.ResolveTeleportSkillId) · Range 3.25 = 텔레포트 2.5 x 1.3 · 쿨 2s→1s(CooldownPerLevel -0.25) · 도착 광역 HitCount 1 (SkillExecutors.ExecuteBlink) · 피해 100→200% 와 MpCost 12 는 표에 없어 TENTATIVE
SK_M22,2,4,매직 가드,,받는 피해의 일부를 MP가 대신 받는다. 공격 시 현재 MP의 5%만큼 추가 마법 피해를 준다.,5,1,10,60,MAGICIAN,2,20,BUFF_SELF,20,35,0,0,45,0,0,RATIO,0,5,0,0,0,MAGIC_GUARD,0,추가기획1 D: BaseEffect 35→75 = MP 가 대신 받는 비율(SkillBuffs.AbsorbDamage · A 의 PlayerHit 연결 대기) · Secondary 5 = 공격 시 현재 MP % 추가 피해(SkillDatabase.DamageAt) · 활성 중 스킬 MP 소모 x1.5(SkillBuffs.MagicGuardMpCostMul)
SK_M31,3,5,대마법,,단일 대상에게 초고피해를 입힌다.,1,1,0,0,MAGICIAN,3,30,ORIGIN,60,6000,0,0,1,1,1,ATK_PCT,0,0,0,0,0,,0,추가기획1 궁: 단일 대상(화면 안 보스 우선 · 없으면 최근접 · SkillAttack.FindSkillTarget) · Duration 1 = 컷신 텔레그래프(시전 락 2.5s = 텔레그래프+임팩트 · SkillCaster.castLockOverrides) · UseLimit 1 · 6000% x atk 75 = 4500
SK_M13,1,6,텔레포트,,초보자 스킬의 더블 점프가 텔레포트로 바뀐다.,5,1,0,2,MAGICIAN,1,10,BLINK,5,0,2.5,0,0,0,0,FLAT,0,0,0,0,0,,0,추가기획1 특이사항: Shift + 방향키(없으면 바라보는 쪽) 또는 공중 점프 키(SkillHotbar.TeleportOnAirJump) · Range 2.5 = 이동 거리(원작 ≈150px=1.5 · 3 에서 축소 2026-09-09) · 클라 우선 이동 + 발판 착지(SkillMovement) · SK_M21 을 배우면 같은 키가 SK_M21 을 시전
SK_A11,1,1,더블 샷,,원거리에서 화살 2발을 연속으로 발사한다.,5,1,10,0,ARCHER,1,10,PROJECTILE,6,60,6,12,0,2,0,ATK_PCT,0,0,0,0,0,,0.5,TENTATIVE: speed/mp not in GDD
SK_A12,1,2,포커스,,보스 리젠 시각이 표시되고 특수 재화 드랍율이 증가한다.,5,1,5,0,ARCHER,1,10,PASSIVE,0,10,0,0,0,0,0,RATIO,0,0,0,0,0,DROP_RATE_DREAM_SHARD,0,TENTATIVE: GDD says '특수재화' but there are 3. If this targets 낙인의 영혼석 the ch.6 archer penalty is cancelled - ask planner
SK_A21,2,3,스나이핑,,1초의 선딜 후 단일 대상에게 초고피해를 입힌다.,5,1,50,8,ARCHER,2,20,PROJECTILE,18,300,10,20,0,1,0,ATK_PCT,0,0,0,0,0,,0.5,TENTATIVE: cooldown/mp not in GDD. 1s cast delay handled in executor
SK_A22,2,4,닷지,,"맵에서 가장 안전한 구역으로 이동하고, 일정 시간 동안 모든 공격이 반드시 크리티컬로 명중한다.",5,1,1,30,ARCHER,2,20,BLINK,15,6,0,0,6,0,0,SEC,0,0,0,1,0,GUARANTEED_CRIT,0,blink target = character spawn location
