TitleId,Name,Desc,SortOrder,Enabled,#Note
TTL_ROOKIE,신입 수비대원,업적 첫 출정,10,true,WO-031 §5 확정 2026-09-26
TTL_VETERAN,노련한 수비대원,업적 단골 수비대,11,true,WO-031 §5 확정 2026-09-26
TTL_WARDEN,빅토리아의 파수꾼,업적 빅토리아의 파수꾼,12,true,WO-031 §5 확정 2026-09-26
TTL_SURVIVOR,최후의 생존자,업적 첫 1위,20,true,WO-031 §5 확정 2026-09-26
TTL_LEGEND,전설의 수호자,업적 ★5 정상,21,true,WO-031 §5 확정 2026-09-26
TTL_BALROG,발록 토벌대,업적 발록 토벌,22,true,WO-031 §5 확정 2026-09-26
TTL_HUNTER,사냥꾼,업적 사냥꾼,30,true,WO-031 §5 확정 2026-09-26
TTL_MONSTER_HUNTER,몬스터 헌터,업적 몬스터 헌터,31,true,WO-031 §5 확정 2026-09-26
TTL_GIANT_SLAYER,거인 사냥꾼,업적 거인 사냥,32,true,WO-031 §5 확정 2026-09-26
TTL_BOSS_HUNTER,보스 헌터,업적 보스 헌터,33,true,WO-031 §5 확정 2026-09-26
TTL_CONQUEROR,빅토리아 정복자,업적 빅토리아 정복,34,true,WO-031 §5 확정 2026-09-26
TTL_SCHOLAR,몬스터 학자,업적 몬스터 학자,40,true,WO-031 §5 확정 2026-09-26
TTL_DOCTOR,몬스터 박사,업적 몬스터 박사,41,true,WO-031 §5 확정 2026-09-26
TTL_ENHANCER,강화의 달인,업적 강화의 달인,50,true,WO-031 §5 확정 2026-09-26
TTL_CAPTAIN,수비대장,업적 수비대장,51,true,WO-031 §5 확정 2026-09-26
TTL_EXPEDITION,원정대장,업적 원정대장,52,true,WO-031 §5 확정 2026-09-26
