VillageId,SectorId,AnchorX,AnchorY,SlotDX,SlotDY,SlotPerRow,FlipX,Enabled,#Note
ELLINIA,WORKSHOP,-3.40,1.00,0.5,0,5,false,true,🔸임시 앵커 2026-09-09 (포탈 바닥 기준 · AI 배치) — 디자이너 실측 좌표 오면 교체
ELLINIA,LIFE,-0.80,1.00,0.5,0,3,false,true,🔸임시 앵커 2026-09-09 (포탈 바닥 기준 · AI 배치) — 디자이너 실측 좌표 오면 교체
ELLINIA,RECORD,0.80,1.00,0.5,0,2,false,true,🔸임시 앵커 2026-09-09 (포탈 바닥 기준 · AI 배치) — 디자이너 실측 좌표 오면 교체
ELLINIA,DEFENSE,2.00,1.00,0.5,0,2,false,true,🔸임시 앵커 2026-09-09 (포탈 바닥 기준 · AI 배치) — 디자이너 실측 좌표 오면 교체
HENESYS,WORKSHOP,-14.8,-0.04,1.2,0,5,false,true,헤네시스 마을 바닥 실측(2026-09-06 · foothold y=-0.04) · 2026-09-07 넥서스(x -9.6~-6.4)에 가려져 1.8 왼쪽으로(슬롯 -14.8~-10.0)
HENESYS,LIFE,-6,-0.04,1.2,0,3,false,true,헤네시스 마을 바닥 실측(2026-09-06 · foothold y=-0.04)
HENESYS,RECORD,-1.5,-0.04,1.2,0,2,false,true,헤네시스 마을 바닥 실측(2026-09-06 · foothold y=-0.04)
HENESYS,DEFENSE,2,-0.04,1.2,0,2,false,true,헤네시스 마을 바닥 실측(2026-09-06 · foothold y=-0.04)
KERNING,WORKSHOP,-3.00,1.00,0.5,0,5,false,true,🔸임시 앵커 2026-09-09 (포탈 바닥 기준 · AI 배치) — 디자이너 실측 좌표 오면 교체
KERNING,LIFE,-0.40,1.00,0.5,0,3,false,true,🔸임시 앵커 2026-09-09 (포탈 바닥 기준 · AI 배치) — 디자이너 실측 좌표 오면 교체
KERNING,RECORD,1.20,1.00,0.5,0,2,false,true,🔸임시 앵커 2026-09-09 (포탈 바닥 기준 · AI 배치) — 디자이너 실측 좌표 오면 교체
KERNING,DEFENSE,2.40,1.00,0.5,0,2,false,true,🔸임시 앵커 2026-09-09 (포탈 바닥 기준 · AI 배치) — 디자이너 실측 좌표 오면 교체
PERION,WORKSHOP,7.00,2.60,0.5,0,5,false,true,🔸임시 앵커 2026-09-09 (포탈 바닥 기준 · AI 배치) — 디자이너 실측 좌표 오면 교체
PERION,LIFE,9.60,2.60,0.5,0,3,false,true,🔸임시 앵커 2026-09-09 (포탈 바닥 기준 · AI 배치) — 디자이너 실측 좌표 오면 교체
PERION,RECORD,11.20,2.60,0.5,0,2,false,true,🔸임시 앵커 2026-09-09 (포탈 바닥 기준 · AI 배치) — 디자이너 실측 좌표 오면 교체
PERION,DEFENSE,12.40,2.60,0.5,0,2,false,true,🔸임시 앵커 2026-09-09 (포탈 바닥 기준 · AI 배치) — 디자이너 실측 좌표 오면 교체
NAUTILUS,WORKSHOP,19.00,2.60,0.5,0,5,false,true,🔸임시 앵커 2026-09-09 (포탈 바닥 기준 · AI 배치) — 디자이너 실측 좌표 오면 교체
NAUTILUS,LIFE,21.60,2.60,0.5,0,3,false,true,🔸임시 앵커 2026-09-09 (포탈 바닥 기준 · AI 배치) — 디자이너 실측 좌표 오면 교체
NAUTILUS,RECORD,23.20,2.60,0.5,0,2,false,true,🔸임시 앵커 2026-09-09 (포탈 바닥 기준 · AI 배치) — 디자이너 실측 좌표 오면 교체
NAUTILUS,DEFENSE,24.40,2.60,0.5,0,2,false,true,🔸임시 앵커 2026-09-09 (포탈 바닥 기준 · AI 배치) — 디자이너 실측 좌표 오면 교체
