MotionId,SkillId,WeaponType,CoreAction,PartsAction,PlayRate,PlayType,Enabled,#Note
MOTION_SWORD_1H,,SWORD_1H,swingO1,swingO1,1,Onetime,true,한손검 기본 · 미검증(문서 후보값)
MOTION_SWORD_2H,,SWORD_2H,swingT1,swingT1,1,Onetime,true,두손검 기본 · 미검증
MOTION_BOW,,BOW,shoot1,shoot1,1,Onetime,true,활 기본 · 2026-09-08 런타임 검증 완료(활 자세 확인)
MOTION_WAND,,WAND,swingO1,swingO1,1,Onetime,true,완드 기본 · 미검증
MOTION_DAGGER,,DAGGER,stabO1,stabO1,1,Onetime,true,단검 기본 · 미검증
MOTION_CLAW,,CLAW,swingO3,swingO3,1,Onetime,true,아대 기본 · 미검증 · 아대는 던지기 계열일 수 있다
MOTION_KNUCKLE,,KNUCKLE,swingO1,swingO1,1,Onetime,true,너클 기본 · 미검증
MOTION_SK_W11_SWORD_1H,SK_W11,SWORD_1H,alert,alert,1,Onetime,true,파워 스트라이크 시전 순간 = 전투 자세(alert · 충전 섬광 동안 검을 들고 멈춤) · 2026-09-13 B 추가(스킬별 행 · 협업-규칙 §2-1 행 추가) · 원작 영상 기준 2단 콤보(SkillExecutors.ExecutePowerStrikeCombo 가 0.2s 뒤 SK_W11_1 · 0.75s 뒤 SK_W11_2 재생)
MOTION_SK_W11_SWORD_2H,SK_W11,SWORD_2H,alert,alert,1,Onetime,true,파워 스트라이크 시전 순간 두손검 = alert
MOTION_SK_W11_1_SWORD_1H,SK_W11_1,SWORD_1H,swingO1,swingO1,1,Onetime,true,파워 스트라이크 1단 = 내려찍기(swingO1) · 실행기가 0.2s 에 PlaySkill(SK_W11_1)
MOTION_SK_W11_1_SWORD_2H,SK_W11_1,SWORD_2H,swingT1,swingT1,1,Onetime,true,파워 스트라이크 1단 두손검 = 내려찍기(swingT1 · 팩 afterimage/swordTL/swingT1)
MOTION_SK_W21_SWORD_1H,SK_W21,SWORD_1H,stand2,stand2,1,ZigzagLoop,true,하이퍼 바디 한손 시전 = stand2(두 주먹을 가슴 앞에 모으고 검은 몸 뒤로 · 3프레임 모두 검이 보인다 · 고정 프레임 없이 그대로 왕복) → 1.0s 뒤 SK_W21_2 빠른 전투 자세 → 1.6s 뒤 SK_W21_END 서 있기 · 2026-09-25 사용자 결정(#94): 라이브 2022 리마스터 시전 자세와 비교해 가장 가깝다(alert · stand1 · swingO1~3/swingT1~3 0프레임과 비교) · 예전 heal 1.5배속 왕복은 1~2프레임에서 검이 사라졌다 · 원작 버프 자세(alert2)는 아바타에 없음
MOTION_SK_W21_SWORD_2H,SK_W21,SWORD_2H,alert,alert,2.5,ZigzagLoop,true,하이퍼 바디 두손검 · alert 2.5배속(2026-09-25 사용자 결정 · #94: 두손검 아바타 아이템에 heal 프레임이 없어 heal 동안 대검이 사라진다 → _2 와 같은 빠른 전투 자세 · 예전 heal 1.5배속 · stand2 도 대검이 안 그려진다 · swingT3 0프레임 고정(0.2배속)도 Play 메모리로 비교했지만 사용자 선택으로 alert 유지 = 도발 두손과 같은 자세)
MOTION_SK_W21_2_SWORD_1H,SK_W21_2,SWORD_1H,alert,alert,2.5,ZigzagLoop,true,하이퍼 바디 2단 = 빠른 전투 자세(alert 2.5배속 왕복 · 피격 HIT 의 1배속 alert 와 구분) · SkillExecutors.GetMotionSequence 가 1.0s(불굴의 진 1.5s)에 재생
MOTION_SK_W21_2_SWORD_2H,SK_W21_2,SWORD_2H,alert,alert,2.5,ZigzagLoop,true,하이퍼 바디 2단 두손검 · alert 2.5배속
