MapName,Label,Region,Type,NodeEntity,X,Y,ShowLabel,LabelDX,LabelDY,Enabled,#Note
SixPathCrossway,여섯갈래길,SixPath,Hub,Node_SixPathCrossway,-57.5,-15.8,false,0.0,-34.0,true,6개 지역 중심 허브
KerningCity_Village_MinimiMain,커닝시티,KerningCity,Village,Node_KerningCity_Village_MinimiMain,-329.2,140.9,false,0.0,-34.0,true,지도 아이콘 위
KerningCity_Hunt_SubwayLine1,지하철 1호선,KerningCity,Hunt,Node_KerningCity_Hunt_SubwayLine1,-118.8,12.6,false,0.0,-34.0,true,
KerningCity_Village_SubwayEntrance,지하철 입구,KerningCity,Village,Node_KerningCity_Village_SubwayEntrance,-178.2,35.4,false,0.0,-34.0,true,
KerningCity_Hunt_ConstructionSite,폐공사장,KerningCity,Hunt,Node_KerningCity_Hunt_ConstructionSite,-250.2,69.5,false,0.0,-34.0,true,
KerningCity_Hunt_SewerApproach,하수구 통로,KerningCity,Hunt,Node_KerningCity_Hunt_SewerApproach,-377.8,168.7,false,0.0,-34.0,true,
KerningCity_Boss_KingSlime,킹슬라임,KerningCity,Boss,Node_KerningCity_Boss_KingSlime,-444.2,195.2,false,0.0,-34.0,true,
Henesys_Village_MinimiMain,헤네시스,Henesys,Village,Node_Henesys_Village_MinimiMain,-120.7,-236.9,false,0.0,-34.0,true,지도 아이콘 위
Henesys_Hunt_GolemsTemple,골렘의 사원,Henesys,Hunt,Node_Henesys_Hunt_GolemsTemple,-64.4,-100.4,false,0.0,-34.0,true,
Henesys_Hunt_HillNorth,북쪽 언덕,Henesys,Hunt,Node_Henesys_Hunt_HillNorth,-87.2,-163.0,false,0.0,-34.0,true,
Henesys_Hunt_BlueMushroomTrail,파란버섯의 숲,Henesys,Hunt,Node_Henesys_Hunt_BlueMushroomTrail,-140.9,-293.1,false,0.0,-34.0,true,
Henesys_Boss_Mushmom,머쉬맘,Henesys,Boss,Node_Henesys_Boss_Mushmom,-171.9,-346.8,false,0.0,-34.0,true,
Ellinia_Village_MinimiMain,엘리니아,Ellinia,Village,Node_Ellinia_Village_MinimiMain,176.9,-1.9,false,0.0,-34.0,true,지도 아이콘 위
Ellinia_Hunt_TreeTrunkNest2,나무 둥지 2,Ellinia,Hunt,Node_Ellinia_Hunt_TreeTrunkNest2,40.4,-13.9,false,0.0,-34.0,true,
Ellinia_Hunt_GreenTreeTrunk,초록 나무 둥치,Ellinia,Hunt,Node_Ellinia_Hunt_GreenTreeTrunk,109.3,-15.2,false,0.0,-34.0,true,
Ellinia_Hunt_GiantTree,거대한 나무,Ellinia,Hunt,Node_Ellinia_Hunt_GiantTree,233.8,34.7,false,0.0,-34.0,true,
Ellinia_Boss_Ephenia,에페니아,Ellinia,Boss,Node_Ellinia_Boss_Ephenia,278.0,74.5,false,0.0,-34.0,true,
Perion_Village_MinimiMain,페리온,Perion,Village,Node_Perion_Village_MinimiMain,-31.6,199.0,false,0.0,-34.0,true,지도 아이콘 위
Perion_Hunt_NorthernRidge,북쪽 산등성이,Perion,Hunt,Node_Perion_Hunt_NorthernRidge,-37.3,77.1,false,0.0,-34.0,true,
Perion_Hunt_WildBoarLand,와일드보어의 땅,Perion,Hunt,Node_Perion_Hunt_WildBoarLand,-25.9,130.1,false,0.0,-34.0,true,
Perion_Hunt_SouthernRidge,남쪽 산등성이,Perion,Hunt,Node_Perion_Hunt_SouthernRidge,-58.1,267.8,false,0.0,-34.0,true,
Perion_Boss_Stumpy,스텀피,Perion,Boss,Node_Perion_Boss_Stumpy,-79.6,332.2,false,0.0,-34.0,true,
Nautilus_Village_MinimiMain,노틸러스,Nautilus,Village,Node_Nautilus_Village_MinimiMain,99.2,-179.4,false,0.0,-34.0,true,지도 아이콘 위
Nautilus_Hunt_WayToBeach,해변 가는 길,Nautilus,Hunt,Node_Nautilus_Hunt_WayToBeach,21.5,-92.2,false,0.0,-34.0,true,
Nautilus_Hunt_PigPasture,돼지 목장,Nautilus,Hunt,Node_Nautilus_Hunt_PigPasture,68.2,-135.8,false,0.0,-34.0,true,
Nautilus_Village_MinimiShip,노틸러스호,Nautilus,Village,Node_Nautilus_Village_MinimiShip,187.7,-191.4,false,0.0,-34.0,true,
Nautilus_Hunt_RibbonPigBeach,리본돼지 해변,Nautilus,Hunt,Node_Nautilus_Hunt_RibbonPigBeach,125.1,-262.1,false,0.0,-34.0,true,
Nautilus_Boss_Pianus,피아누스,Nautilus,Boss,Node_Nautilus_Boss_Pianus,164.9,-346.1,false,0.0,-34.0,true,
LithHarbor_Village_MinimiMain,리스항구,LithHarbor,Village,Node_LithHarbor_Village_MinimiMain,-387.9,-184.4,false,0.0,-34.0,true,지도 아이콘 위
LithHarbor_Hunt_PigBeach,돼지 해변,LithHarbor,Hunt,Node_LithHarbor_Hunt_PigBeach,-314.0,-90.3,false,0.0,-34.0,true,
LithHarbor_Hunt_RightAroundLithHarbor,리스항구 주변,LithHarbor,Hunt,Node_LithHarbor_Hunt_RightAroundLithHarbor,-352.6,-144.6,false,0.0,-34.0,true,
LithHarbor_Hunt_ForestTrail1,숲의 오솔길 1,LithHarbor,Hunt,Node_LithHarbor_Hunt_ForestTrail1,-248.3,-60.0,false,0.0,-34.0,true,
LithHarbor_Boss_Mano,마노,LithHarbor,Boss,Node_LithHarbor_Boss_Mano,-180.7,-45.5,false,0.0,-34.0,true,
Sleepywood_Village_MinimiMain,슬리피우드,Sleepywood,Village,Node_Sleepywood_Village_MinimiMain,119.0,-329.0,false,0.0,-34.0,false,포탈망 제외
map01,1지역 · 초원 전선,Temp,Temp,Region1,-255.0,120.0,false,0.0,-34.0,false,임시맵 · 파병 region1
map02,2지역 · 구름 전선,Temp,Temp,Region2,-31.7,12.0,false,0.0,-34.0,false,임시맵 · 파병 region2
map03,3지역 · 설원 전선,Temp,Temp,Region3,201.4,-150.2,false,0.0,-34.0,false,임시맵 · 파병 region3
